Unnamed: 0,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Acelerações,Passes_Longos_Recebidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Deep_Completions,Deep_Completed_Crosses,Passes_Chave,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Ofensivos_Ganhos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,Acelerações_LM,Passes_Longos_Recebidos_LM,xG_LM,Finalizações_NoAlvo_LM,Conversão_Gols_LM,xA_LM,Assistência_Finalização_LM,Deep_Completions_LM,Deep_Completed_Crosses_LM,Passes_Chave_LM,Duelos_Ofensivos_Ganhos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,Acelerações_Rank,Passes_Longos_Recebidos_Rank,xG_Rank,Finalizações_NoAlvo_Rank,Conversão_Gols_Rank,xA_Rank,Assistência_Finalização_Rank,Deep_Completions_Rank,Deep_Completed_Crosses_Rank,Passes_Chave_Rank,Duelos_Ofensivos_Ganhos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,Acelerações_Percentil,Passes_Longos_Recebidos_Percentil,xG_Percentil,Finalizações_NoAlvo_Percentil,Conversão_Gols_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Deep_Completions_Percentil,Deep_Completed_Crosses_Percentil,Passes_Chave_Percentil
45,0.53142,0.457471,0.428731,0.702128,0.137097,0.282051,0.181114,0.399994,0.290323,0.20765,0.340206,0.121693,0.21,0.424877,Derik Lacerda,Cuiabá,Cuiabá,"LW, CF, RW",LW,10,24,500000,2028-12-31,17,996,Brazil,Brazil,right,191,78,no,BRA1,Testing,2024,Extremo Agudo,0.425,46,58,20,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,17,26.0,25,5.0,54.0,35.5,50,17.5,27.5,47.0,38.0,50.5,33.0,70,55,56,91,6,38,13,69,52,18,34,12,43
46,0.511993,0.563218,0.614075,0.007092,0.360215,0.230769,0.281485,0.166682,0.193548,0.497268,0.520619,0.439153,0.04,0.421872,Keno,Fluminense,Fluminense,"LAMF, LW",LAMF,10,35,800000,2025-12-31,15,934,Brazil,Brazil,right,178,66,no,BRA1,Testing,2024,Extremo Agudo,0.422,47,58,18,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,18,13.0,13,56.5,33.0,45.0,40,44.0,38.0,24.0,20.5,15.0,54.0,68,77,77,2,43,22,31,24,34,58,64,74,6
47,0.202082,0.137931,0.244859,0.312057,0.475806,0.205128,0.100946,0.214292,0.354839,0.726776,0.298969,0.497354,0.18,0.408028,A. Cruz,Atlético GO,Atlético GO,"LWF, LW, LB",LWF,11,24,700000,2024-12-31,24,1347,Uruguay,Uruguay,left,170,67,no,BRA1,Testing,2024,Extremo Agudo,0.408,48,58,17,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,50,57.0,41,28.0,16.5,49.0,57,36.0,20.5,7.0,43.0,11.5,36.5,13,1,29,51,71,15,1,37,64,87,25,80,37
48,0.490174,0.23908,0.417668,0.35461,0.266129,0.230769,0.5477,0.125011,0.193548,0.409836,0.226804,0.349206,0.15,0.401535,Marcelinho,Juventude,Juventude,"LAMF, RW",LAMF,10,21,400000,2024-12-31,16,909,Brazil,Brazil,right,165,69,yes,BRA1,Testing,2024,Extremo Agudo,0.402,49,58,15,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,20,49.0,28,25.0,46.0,45.0,20,48.0,38.0,31.5,48.0,25.0,40.5,65,15,51,56,20,22,65,17,34,45,17,56,30
49,0.61291,0.354023,0.688419,0.631206,0.268817,0.230769,0.259693,0.642876,0.096774,0.098361,0.592784,0.137566,0.05,0.39866,Gustavo Nunes,Grêmio,Grêmio,"LW, LAMF",LW,10,18,0,,20,1382,Brazil,Brazil,right,173,69,no,BRA1,Testing,2024,Extremo Agudo,0.399,50,58,13,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,13,39.0,8,8.0,45.0,45.0,42,4.0,50.0,54.0,14.5,47.0,53.0,77,32,86,86,22,22,27,93,13,6,75,18,8
50,0.200566,0.28046,0.208538,0.248227,0.314516,0.282051,0.453994,0.360004,0.193548,0.054645,0.123711,0.037037,0.09,0.394974,Erick Farias,Juventude,Juventude,"LW, CF, LAMF",LW,10,27,1300000,2026-12-31,25,1839,Brazil,Brazil,right,174,79,no,BRA1,Testing,2024,Extremo Agudo,0.395,51,58,12,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,51,45.0,46,37.0,38.5,35.5,29,20.0,38.0,56.0,54.0,56.0,49.5,12,22,20,36,33,38,50,65,34,3,6,3,14
51,0.401879,0.321839,0.281243,0.255319,0.459677,0.205128,0.187319,0.300003,0.096774,0.262295,0.345361,0.248677,0.15,0.379135,Jonathan Cafú,Cuiabá,Cuiabá,"RW, RAMF, RWF",RW,10,33,300000,2024-12-31,19,1209,Brazil,"Brazil, Bulgaria",right,175,68,no,BRA1,Testing,2024,Extremo Agudo,0.379,52,58,10,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,29,41.0,38,35.5,18.0,49.0,49,25.5,50.0,42.0,37.0,38.0,40.5,50,29,34,38,68,15,15,56,13,27,36,34,30
52,0.690185,0.374713,0.719339,0.432624,0.427419,0.153846,0.170302,0.0,0.322581,0.349727,0.06701,0.597884,0.27,0.373156,Marquinhos,Fluminense,Fluminense,"RAMF, RB",RAMF,10,21,7000000,2027-06-30,15,1283,Brazil,Brazil,left,175,67,yes,BRA1,Testing,2024,Extremo Agudo,0.373,53,58,8,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,9,37.0,7,20.0,21.0,54.5,53,54.0,24.0,36.0,56.5,9.0,27.0,84,36,87,65,63,6,8,6,58,37,2,84,53
53,0.103558,0.170115,0.045266,0.283688,0.0,0.153846,0.374639,0.0,0.129032,0.191257,0.329897,0.455026,0.34,0.328913,Rodrigo Nestor,São Paulo,São Paulo,"LAMF, LCMF, LW",LAMF,10,24,9000000,2028-06-30,18,913,Brazil,Brazil,right,175,65,no,BRA1,Testing,2024,Extremo Agudo,0.329,54,58,6,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,54,56.0,56,30.0,58.0,54.5,36,54.0,46.5,49.0,39.0,14.0,21.0,6,3,3,48,0,6,37,6,19,15,32,75,63
54,0.670263,0.441379,0.62518,0.609929,0.416667,0.205128,0.253075,0.0,0.0,0.273224,0.298969,0.31746,0.13,0.294901,H. Mosquera,Red Bull Bragantino,Red Bull Bragantino,"LW, CF, LAMF",LW,10,22,0,,23,1609,Colombia,Colombia,right,175,68,no,BRA1,Testing,2024,Extremo Agudo,0.295,55,58,5,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,10,28.0,10,9.5,22.0,49.0,43,54.0,57.5,41.0,43.0,29.0,44.5,82,51,82,83,62,15,25,6,0,29,25,50,23
55,0.200151,0.416092,0.142707,0.191489,0.551075,0.333333,0.180508,0.200012,0.129032,0.076503,0.231959,0.121693,0.09,0.281336,Yago Pikachu,Fortaleza,Fortaleza,"RAMF, RW",RAMF,10,32,1200000,2025-12-31,22,1492,Brazil,Brazil,right,169,63,no,BRA1,Testing,2024,Extremo Agudo,0.281,56,58,3,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,52,31.0,52,43.0,9.0,29.5,51,39.5,46.5,55.0,47.0,50.5,49.5,10,46,10,25,84,49,12,31,19,5,18,12,14
56,0.487367,0.393103,0.346003,0.198582,0.314516,0.102564,0.145924,0.136351,0.064516,0.218579,0.706186,0.296296,0.13,0.263627,Gerson,Flamengo,Flamengo,"RAMF, LDMF, RW",RAMF,10,27,14000000,2027-12-31,24,1959,Brazil,Brazil,left,184,78,no,BRA1,Testing,2024,Extremo Agudo,0.264,57,58,1,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,22,34.0,32,41.0,38.5,57.0,55,46.5,53.5,44.5,7.5,31.0,44.5,62,41,44,29,33,1,5,19,7,23,87,46,23
57,0.046638,0.0,0.0,0.148936,0.048387,0.0,0.130379,0.0,0.096774,0.043716,0.139175,0.058201,0.15,0.0,Tchê Tchê,Botafogo,Botafogo,"LW, LCMF, LAMF",LW,10,32,1800000,2025-12-31,22,1491,Brazil,Brazil,right,175,66,no,BRA1,Testing,2024,Extremo Agudo,0.0,58,58,0,0.433913,0.444511,0.41535,0.342015,0.388487,0.367374,0.449828,0.291655,0.313682,0.444413,0.437522,0.337803,0.308448,55,58.0,58,45.5,57.0,58.0,56,54.0,50.0,57.0,53.0,55.0,40.5,5,0,0,21,1,0,3,6,13,1,8,5,30
