Unnamed: 0,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Ações_Ofensivas_BemSucedidas_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Passes_TerçoFinal_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Ações_Ofensivas_BemSucedidas_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Passes_TerçoFinal_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Ações_Ofensivas_BemSucedidas_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Passes_TerçoFinal_Certos_Percentil
23,0.373464,0.488977,0.337261,0.43866,0.042705,0.078997,0.039667,0.185328,0.350572,0.483932,Lucas Kal,Al Riyadh,Atlético GO,"DMF, RDMF",DMF,7,28,1400000,2025-05-30,17,1302,Brazil,"Brazil, Italy",right,186,78,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.484,24,44,45,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,24.0,19,32,17,39.0,38,39,38.0,21,45,56,27,61,11,13,11,13,52
24,0.458231,0.323,0.457597,0.327817,0.220641,0.527991,0.341225,0.316602,0.272766,0.478898,Danilo Barbosa,Botafogo,Botafogo,"RDMF, RCMF, LCMF",RDMF,7,28,2500000,2025-06-30,22,1203,Brazil,Brazil,right,183,74,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.479,25,44,43,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,18.0,32,25,28,21.0,10,18,23.0,28,59,27,43,36,52,77,59,47,36
25,0.321867,0.712547,0.503806,0.37294,0.02847,0.121028,0.016708,0.389961,0.342236,0.474836,J. Sforza,Vasco da Gama,Vasco da Gama,"DMF, LCMF, LDMF",DMF,7,22,4500000,2028-12-31,18,1066,Argentina,"Argentina, Italy",left,179,71,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.475,26,44,40,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,29.0,6,23,20,40.0,34,42,17.0,22,34,86,47,54,9,22,4,61,50
26,0.246929,0.675162,0.379701,0.443411,0.227758,0.471176,0.300353,0.413127,0.363032,0.465638,Breno Bidon,Corinthians U20,Corinthians,"RDMF, LDMF, LCMF",RDMF,7,19,0,,17,1178,Brazil,Brazil,left,174,70,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.466,27,44,38,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,34.0,11,31,16,20.0,14,19,16.0,18,22,75,29,63,54,68,56,63,59
27,0.610565,0.311844,0.0,0.125936,0.103203,0.054506,0.000643,0.0,0.11461,0.43989,G. Freitas,Atlético GO,Atlético GO,"DMF, LDMF",DMF,7,32,400000,2024-12-31,6,621,Uruguay,Uruguay,right,186,78,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.44,28,44,36,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,6.0,34,44,39,36.0,41,43,44.0,39,86,22,0,11,18,6,2,0,11
28,0.444717,0.209952,0.628393,0.338417,0.0,0.045914,0.01762,0.200772,0.441968,0.438225,E. Pulgar,Flamengo,Flamengo,"RDMF, RCMF, LDMF",RDMF,7,30,5000000,2025-12-31,13,1047,Chile,Chile,right,187,74,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.438,29,44,34,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,20.0,41,14,25,43.5,42,41,34.0,14,54,6,68,43,1,4,6,22,68
29,0.164619,0.540772,0.601433,0.499804,0.163701,0.092096,0.192782,0.428571,0.334419,0.424098,Léo Ortiz,Flamengo,Flamengo,"RDMF, RCB, RCMF",RDMF,7,28,8000000,2028-12-31,16,1216,Brazil,Brazil,right,185,82,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.424,30,44,31,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,38.0,16,16,10,28.0,37,27,15.0,23,13,63,63,77,36,15,38,65,47
30,0.248157,0.367937,0.693135,0.541547,0.19573,0.044891,0.157151,0.189189,0.494543,0.406349,D. Bobadilla,São Paulo,São Paulo,"RDMF, RCMF",RDMF,7,23,2500000,2027-12-31,14,920,Paraguay,Paraguay,right,181,73,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.406,31,44,29,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,33.0,29,10,7,24.0,43,30,37.0,12,25,34,77,84,45,2,31,15,72
31,0.448403,0.196181,0.59941,0.32827,0.106762,0.282955,0.11676,0.281853,0.18151,0.395061,Higor Meritão,Criciúma,Criciúma,"DMF, LCMF, LDMF",DMF,7,30,1300000,2024-12-31,16,1104,Brazil,Brazil,left,186,85,yes,BRA1,Testing,2024,Primeiro Volante Construtor,0.395,32,44,27,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,19.0,43,18,27,35.0,21,33,27.5,36,56,2,59,38,20,52,25,37,18
32,0.202703,0.375842,0.737882,0.51819,0.19573,0.283241,0.10346,0.281853,0.502067,0.369541,Luiz Gustavo,São Paulo,São Paulo,"LDMF, DMF",LDMF,7,37,350000,2024-12-31,17,1473,Brazil,"Brazil, Germany",left,186,77,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.37,33,44,25,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,37.0,28,6,9,24.0,20,35,27.5,10,15,36,86,79,45,54,20,37,77
33,0.441032,0.205557,0.326094,0.214082,0.701068,0.675373,1.0,0.46332,0.180565,0.338957,Alexsander,Fluminense,Fluminense,"LDMF, LCMF, RCMF",LDMF,7,21,0,,15,899,Brazil,Brazil,left,177,67,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.339,34,44,22,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,21.5,42,34,33,3.0,4,1,12.0,37,51,4,22,25,93,90,97,72,15
34,0.517199,0.0,0.584533,0.117904,0.0,0.38103,0.181215,0.3861,0.090925,0.336076,Rezende,Bahia,Bahia,"DMF, LCB, RCMF",DMF,7,29,800000,2025-12-31,16,633,Brazil,Brazil,left,186,84,no,BRA1,Testing,2024,Primeiro Volante Construtor,0.336,35,44,20,0.403256,0.482056,0.491731,0.367236,0.264882,0.331991,0.319362,0.36855,0.36294,12.0,44,20,40,43.5,17,29,18.0,41,72,0,54,9,1,61,34,59,6
