Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,xG,xA,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
38,Erick,São Paulo,São Paulo,"RAMF, RWB, RWF",RAMF,10,26,1200000,2026-12-31,17,669,Brazil,Brazil,left,173,65,no,5.11,2.960706,6.056517,5.9234,4.977270000000001,0.1,0.27,BRA1,Testing,2024,0.8827230331594894,0.8782988597385616,0.8805109464490255
39,K. Serna,Fluminense,Fluminense,"LAMF, LW, RAMF",LAMF,10,26,1200000,2027-12-31,10,618,Colombia,"Colombia, Peru",right,182,73,no,6.98,4.347,2.17,1.864,4.81107,0.28,0.19,BRA1,Testing,2024,0.4181319803035526,0.4479204658244466,0.4330262230639996
40,Ferreira,São Paulo,São Paulo,"LAMF, LW",LAMF,10,26,5000000,2027-12-31,21,1005,Brazil,Brazil,right,176,65,no,4.84,2.957247,4.837416000000001,4.654179,8.778692000000001,0.2,0.19,BRA1,Testing,2024,0.7041800820231381,0.7170119897461044,0.7105960358846213
41,L. Díaz,Cruzeiro,Cruzeiro,"LWF, RW, RWF",LWF,11,26,1200000,2028-06-30,11,656,Argentina,Argentina,right,181,72,no,5.79,3.133537,2.972564999999999,2.03651,1.2528,0.12,0.06,BRA1,Testing,2024,0.2881504804301816,0.2923291626756977,0.2902398215529396
42,Arthur Gomes,Dinamo Moskva,Cruzeiro,LWF,LWF,11,26,3000000,2029-06-30,21,1399,Brazil,Brazil,right,174,69,no,3.22,1.865008,3.4713,2.636792,4.374916000000001,0.16,0.05,BRA1,Testing,2024,0.319458679321221,0.2962026477261652,0.3078306635236931
43,A. Canobbio,Athletico Paranaense,Athletico Paranaense,"LAMF, LW, LWF",LAMF,10,26,5000000,2026-12-31,17,1173,Uruguay,"Uruguay, Italy",right,175,69,no,7.37,4.372144,4.98828,2.995578,4.524534,0.23,0.12,BRA1,Testing,2024,0.6763317078268983,0.695110118240204,0.6857209130335511
44,Janderson,Atlético GO,Atlético GO,"RWF, RW, RAMF",RWF,11,25,900000,2025-12-31,13,862,Brazil,Brazil,right,161,58,yes,4.39,3.550008,4.382525,3.859731,4.17576,0.18,0.14,BRA1,Testing,2024,0.6359951805384286,0.621527402490927,0.6287612915146779
45,Igor Gomes,Atlético Mineiro,Atlético Mineiro,"LWF, LW, RCMF",LWF,11,25,4000000,2026-12-31,18,1306,Brazil,Brazil,right,183,73,no,6.06,3.034899,7.923492,3.995776,2.757166,0.11,0.07,BRA1,Testing,2024,0.6989183526102871,0.7116828241861217,0.7053005883982044
46,Wesley,Internacional,Internacional,"LAMF, RAMF, LW",LAMF,10,25,5500000,2026-12-31,27,2250,Brazil,Brazil,right,175,64,no,6.16,3.35988,4.400088,3.440052,7.360079999999999,0.22,0.09,BRA1,Testing,2024,0.6362039898926232,0.6455126546439237,0.6408583222682734
47,Vitinho,Red Bull Bragantino,Red Bull Bragantino,"LAMF, LW, LWF",LAMF,10,25,7000000,2026-06-30,22,1445,Brazil,Brazil,right,181,75,no,5.85,2.55225,4.669086999999999,3.92175,4.111039999999999,0.11,0.08,BRA1,Testing,2024,0.557101085068949,0.5788825770922307,0.5679918310805898
