Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Passes_TerçoFinal_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Passes_TerçoFinal_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Passes_TerçoFinal_Certos_Percentil
30,0.366248,0.0,0.458372,0.517912,0.415169,0.520021,0.333831,0.51432,0.28483,0.33154,0.594266,Wagner Leonardo,Vitória,Vitória,LCB,LCB,4,25,1500000,2025-12-31,25,2444,Brazil,Brazil,left,186,76,no,BRA1,Testing,2024,Zagueiro Construtor,0.594,31,68,54,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,56.0,68,35,9,28,15,27,14.0,24.0,33,17,0,48,86,58,77,60,79,64,51
31,0.614004,0.591271,0.421267,0.181416,0.288493,0.438539,0.313027,0.326154,0.325077,0.246277,0.590236,Neris,Vitória,Vitória,RCB,RCB,4,32,600000,2026-12-31,12,856,Brazil,Brazil,right,190,88,no,BRA1,Testing,2024,Zagueiro Construtor,0.59,32,68,52,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,25.0,16,41,45,46,21,30,32.0,17.0,45,63,76,39,33,32,69,55,52,75,33
32,1.0,1.0,0.489498,0.255265,0.177542,0.114565,0.397277,0.338478,0.0,0.148594,0.5544,W. Kannemann,Grêmio,Grêmio,LCB,LCB,4,33,800000,2025-12-31,10,818,Argentina,"Argentina, Italy",left,183,75,no,BRA1,Testing,2024,Zagueiro Construtor,0.554,33,68,51,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,1.0,1,30,32,58,61,21,31.0,67.0,57,98,98,55,52,14,10,69,54,1,16
33,0.684022,0.474559,0.522942,0.283547,0.142856,0.301513,0.413976,0.506154,0.130031,0.205532,0.507005,E. Brítez,Fortaleza,Fortaleza,"RCB, RB",RCB,4,32,800000,2025-12-31,20,1913,Argentina,Argentina,right,178,75,no,BRA1,Testing,2024,Zagueiro Construtor,0.507,34,68,50,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,17.0,24,28,29,62,40,17,15.0,50.0,48,75,64,58,57,8,41,75,77,26,29
34,0.236984,0.164339,0.525705,0.317622,0.289322,0.43731,0.221105,0.215385,0.588235,0.587935,0.5015,Vitão,Internacional,Internacional,RCB,RCB,4,24,8000000,2026-12-31,15,1326,Brazil,Brazil,right,185,78,no,BRA1,Testing,2024,Zagueiro Construtor,0.502,35,68,48,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,62.0,60,27,21,45,22,41,41.0,4.0,6,8,11,60,69,33,67,39,39,94,91
35,0.660682,0.448673,0.292456,0.289235,0.355706,0.374554,0.334073,0.292308,0.470588,0.394405,0.496242,André Ramalho,Corinthians,Corinthians,"CB, RCB",CB,4,32,2500000,2026-12-31,9,945,Brazil,"Brazil, Italy",right,182,78,no,BRA1,Testing,2024,Zagueiro Construtor,0.496,36,68,47,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,21.0,26,55,27,37,29,26,35.0,8.5,25,69,61,19,60,45,57,61,48,87,63
36,0.588869,0.333956,0.785736,0.195671,0.054681,0.0,0.033372,0.0,0.102167,0.098709,0.47063,B. Kuščević,Fortaleza,Fortaleza,"RCB, CB",RCB,4,28,1000000,2026-12-31,12,1088,Chile,"Chile, Croatia",right,186,81,yes,BRA1,Testing,2024,Zagueiro Construtor,0.471,37,68,45,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,31.0,40,7,41,65,68,65,63.0,56.0,62,54,41,89,39,4,0,4,7,17,8
37,0.344704,0.206045,0.444104,0.172884,0.43206,0.417137,0.330681,0.502589,0.306502,0.395235,0.450083,Kaique Rocha,Athletico Paranaense,Athletico Paranaense,RCB,RCB,4,23,3000000,2026-12-31,23,2187,Brazil,Brazil,right,195,87,no,BRA1,Testing,2024,Zagueiro Construtor,0.45,38,68,44,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,59.0,54,37,48,26,23,28,16.0,20.0,24,13,20,45,29,61,66,58,76,70,64
38,0.612208,0.522857,0.354736,0.193906,0.376504,0.246742,0.853393,0.876923,0.560372,0.351249,0.449078,João Victor,Vasco da Gama,Vasco da Gama,"LCB, RCB, RB",LCB,4,26,5000000,2028-12-31,12,943,Brazil,Brazil,right,187,80,no,BRA1,Testing,2024,Zagueiro Construtor,0.449,39,68,42,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,27.0,21,52,42,35,49,2,4.0,5.0,29,60,69,23,38,48,27,97,94,92,57
39,0.35368,0.289023,0.394192,0.215168,0.645787,0.416338,0.483364,0.527446,0.318885,0.337818,0.446208,A. Franco,São Paulo,São Paulo,LCB,LCB,4,27,3000000,2025-12-31,17,1577,Argentina,Argentina,right,183,77,no,BRA1,Testing,2024,Zagueiro Construtor,0.446,40,68,41,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,57.0,48,46,38,7,24,13,13.0,18.0,32,16,29,32,44,89,64,80,80,73,52
40,0.324955,0.160669,0.413394,0.615836,0.377907,0.511483,0.00903,0.0,0.018576,0.44105,0.439182,Thiago Heleno,Athletico Paranaense,Athletico Paranaense,"LCB, RCB",LCB,4,35,400000,2024-12-31,15,1455,Brazil,Brazil,right,185,84,no,BRA1,Testing,2024,Zagueiro Construtor,0.439,41,68,39,0.544276,0.411292,0.480144,0.282125,0.388285,0.368078,0.314019,0.333604,0.251685,0.339529,60.0,61,44,6,34,16,67,63.0,65.0,17,11,10,35,91,50,76,1,7,4,75
