Unnamed: 0,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Acelerações,xG,Finalizações_NoAlvo,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Assistência_Finalização,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Acelerações_LM,xG_LM,Finalizações_NoAlvo_LM,Conversão_Gols_LM,Conversão_xG_LM,Ameaça_Ofensiva_LM,xA_LM,Assistência_Finalização_LM,Deep_Completions_LM,Passes_Chave_LM,Passes_ÁreaPênalti_Certos_LM,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Acelerações_Rank,xG_Rank,Finalizações_NoAlvo_Rank,Conversão_Gols_Rank,Conversão_xG_Rank,Ameaça_Ofensiva_Rank,xA_Rank,Assistência_Finalização_Rank,Deep_Completions_Rank,Passes_Chave_Rank,Passes_ÁreaPênalti_Certos_Rank,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Acelerações_Percentil,xG_Percentil,Finalizações_NoAlvo_Percentil,Conversão_Gols_Percentil,Conversão_xG_Percentil,Ameaça_Ofensiva_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Deep_Completions_Percentil,Passes_Chave_Percentil,Passes_ÁreaPênalti_Certos_Percentil
21,0.343551,0.291799,0.284884,0.588235,0.59998,0.413794,0.471429,0.320794,0.272727,0.344262,0.215,0.257143,0.250569,0.658003,Yuri Alberto,Corinthians,Corinthians,CF,CF,12,23,12000000,2027-12-31,23,2002,Brazil,Brazil,right,182,78,no,BRA1,Testing,2024,Segundo Atacante,0.658,22,58,62,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,22,16,8.0,19.5,15,27.0,22.0,37.0,27.0,26.5,31.0,37.0,26,62,72,86,66,74,53,62,36,53,54,46,36,55
22,0.346108,0.195651,0.052326,0.431373,0.420973,0.365854,0.390432,0.35324,0.681818,0.978142,0.43,0.257143,0.593846,0.648117,F. Cristaldo,Grêmio,Grêmio,"CF, AMF",CF,12,28,10000000,2026-12-31,28,1958,Argentina,"Argentina, Paraguay",right,175,69,no,BRA1,Testing,2024,Segundo Atacante,0.648,23,58,60,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,21,27,44.5,30.0,27,31.0,33.0,30.0,6.0,2.0,9.0,37.0,3,63,53,23,48,53,46,43,48,89,96,84,36,94
23,0.333995,0.164987,0.197674,0.686275,0.392774,0.468755,0.389583,0.497886,0.227273,0.295082,0.225,0.385714,0.202902,0.6392,Renato Kayzer,Fortaleza,Fortaleza,CF,CF,12,28,1000000,2025-12-31,27,1340,Brazil,Brazil,right,178,68,no,BRA1,Testing,2024,Segundo Atacante,0.639,24,58,58,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,24,35,14.0,11.0,29,21.5,34.0,13.0,32.5,32.5,28.0,26.5,36,58,39,75,81,50,62,41,77,43,43,51,54,37
24,0.380888,0.317799,0.325581,0.098039,0.110623,0.264723,0.504167,0.132069,0.5,0.715847,0.485,0.742857,0.533175,0.636258,Cauly,Bahia,Bahia,"CF, AMF",CF,12,29,6000000,2028-12-31,31,2451,Brazil,"Brazil, Germany",right,175,68,no,BRA1,Testing,2024,Segundo Atacante,0.636,25,58,56,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,17,13,7.0,55.0,55,44.0,15.5,53.0,9.5,6.0,4.0,6.0,6,70,77,87,5,5,24,73,8,83,89,93,89,89
25,0.494946,0.180137,0.093023,0.117647,0.267361,0.692317,1.0,0.224213,0.045455,0.131148,0.005,0.0,0.034464,0.613952,Cadu,Atlético Mineiro,Atlético Mineiro,"CF, LWB",CF,12,20,0,,20,1120,Brazil,Brazil,right,177,73,no,BRA1,Testing,2024,Segundo Atacante,0.614,26,58,55,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,10,30,29.5,52.5,45,6.5,1.0,47.0,54.0,54.0,57.0,55.5,56,82,48,49,9,22,88,98,18,6,6,1,4,3
26,0.384911,0.285806,0.139535,0.45098,0.428928,0.333333,0.392857,0.299502,0.409091,0.431694,0.26,0.7,0.577337,0.610925,Á. Romero,Corinthians,Corinthians,"CF, RAMF",CF,12,32,1500000,2024-12-31,22,1479,Paraguay,Paraguay,right,175,73,no,BRA1,Testing,2024,Segundo Atacante,0.611,27,58,53,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,16,17,24.0,27.0,26,35.0,32.0,39.0,15.0,15.5,22.5,7.5,4,72,70,58,53,55,39,44,32,74,73,61,87,93
27,0.257037,0.308233,0.0,0.333333,0.357822,0.230762,0.354167,0.198458,0.5,0.939891,0.44,0.485714,0.816458,0.5988,João Cruz,Athletico Paranaense U20,Athletico Paranaense,"CF, LCMF, RDMF",CF,12,18,0,,10,522,Brazil,Brazil,unknown,0,0,no,BRA1,Testing,2024,Segundo Atacante,0.599,28,58,51,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,32,14,55.0,36.0,31,45.5,36.0,50.0,9.5,3.5,7.5,20.5,2,44,75,5,37,46,21,37,13,83,93,87,64,96
28,0.263395,0.159315,0.116279,0.568627,0.447163,0.403864,0.323529,0.51849,0.454545,0.448087,0.23,0.485714,0.190941,0.596299,I. Pitta,Cuiabá,Cuiabá,CF,CF,12,25,4000000,2026-12-31,29,2647,Paraguay,Paraguay,right,183,88,no,BRA1,Testing,2024,Segundo Atacante,0.596,29,58,50,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,30,36,27.0,22.0,24,28.0,39.0,11.0,11.5,13.5,26.0,20.5,38,48,37,53,62,58,51,32,81,80,76,55,64,34
29,0.249037,0.300306,0.215116,0.627451,0.386706,0.352954,0.297297,0.472991,0.272727,0.333333,0.29,0.342857,0.104829,0.592243,Derek,Atlético GO,Atlético GO,CF,CF,12,26,800000,2027-12-31,19,738,Brazil,Brazil,left,185,80,no,BRA1,Testing,2024,Segundo Atacante,0.592,30,58,48,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,34,15,12.0,16.0,30,32.0,42.0,18.0,27.0,28.5,18.0,29.0,49,41,74,79,72,48,44,27,68,53,50,68,50,15
30,0.203942,0.039354,0.0,1.0,0.613894,0.500015,0.286458,0.768419,0.136364,0.289617,0.19,0.0,0.077553,0.585708,Carlinhos,Flamengo,Flamengo,CF,CF,12,27,500000,2026-12-31,13,512,Brazil,Brazil,right,191,82,no,BRA1,Testing,2024,Segundo Atacante,0.586,31,58,46,0.315549,0.22255,0.159583,0.448952,0.419949,0.390007,0.385202,0.377119,0.304859,0.363671,0.24319,0.388177,0.269181,40,56,55.0,1.0,14,19.0,44.0,2.0,46.0,34.0,37.0,55.5,52,31,3,5,98,75,67,24,96,20,41,36,4,10
