Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
10,R. Ríos,Palmeiras,Palmeiras,"RDMF, LCMF, AMF",RDMF,7,24,10000000,2026-12-31,13,955,Colombia,Colombia,right,185,78,no,9.24,5.844337999999999,1.130675,2.071629,7.63077,4.803984000000001,2.36,2.826052,0.84819,1.32,4.713273,BRA1,Testing,2024,0.6734234866611387,0.6392576331782835,0.6644720203002937
11,Gabriel Menino,Palmeiras,Palmeiras,"LDMF, LAMF, RCMF",LDMF,7,23,9000000,2027-12-31,19,1026,Brazil,Brazil,right,180,78,no,10.0,4.476,0.878921,3.248378,9.299563000000001,6.225023999999999,2.63,3.245039,1.313505,1.23,5.699513,BRA1,Testing,2024,0.817227868003701,0.8015007513811041,0.8193915946411285
12,E. Pulgar,Flamengo,Flamengo,"RDMF, RCMF, LDMF",RDMF,7,30,5000000,2025-12-31,13,1047,Chile,Chile,right,187,74,no,8.94,4.214,1.976836,1.12039,11.347416,4.63966,0.43,0.688,0.17142,0.52,6.192300999999999,BRA1,Testing,2024,0.6838935418516037,0.6884057194178398,0.6946503981895109
13,J. Sforza,Vasco da Gama,Vasco da Gama,"DMF, LCMF, LDMF",DMF,7,22,4500000,2028-12-31,18,1066,Argentina,"Argentina, Italy",left,179,71,no,7.94,3.375789,1.352182,3.461315,10.218054,4.89875,0.51,1.012,0.17,1.01,5.320589999999999,BRA1,Testing,2024,0.562466646684033,0.6977220290703566,0.637900631526188
14,Raul,Red Bull Bragantino,Red Bull Bragantino,"DMF, RDMF, LCMF",DMF,7,28,1500000,2024-12-31,17,1081,Brazil,Brazil,right,180,73,no,8.91,3.914442,0.501462,3.914262,11.076156,6.078209999999999,0.83,0.748446,0.252,0.5,6.242586999999999,BRA1,Testing,2024,0.5648312447475755,0.5897379022897502,0.5844366023959621
15,Jadsom Silva,Red Bull Bragantino,Red Bull Bragantino,"DMF, RB, RDMF",DMF,7,23,4000000,2025-12-31,18,1083,Brazil,Brazil,right,173,67,no,10.97,6.234000000000001,0.748862,2.989341,10.302714,5.154435000000001,0.75,0.7473829999999999,0.2475,0.83,5.402497,BRA1,Testing,2024,0.7937395548046378,0.7743860847070103,0.7937766423413309
16,Lima,Fluminense,Fluminense,"LDMF, RDMF, CF",LDMF,7,28,3000000,2025-12-31,16,1095,Brazil,Brazil,right,181,73,no,5.67,2.712,0.5751269999999999,1.394,9.453411,2.136456,1.73,4.355162,1.234368,1.56,2.548057,BRA1,Testing,2024,0.0,0.0,0.0
17,Higor Meritão,Criciúma,Criciúma,"DMF, LCMF, LDMF",DMF,7,30,1300000,2024-12-31,16,1104,Brazil,Brazil,left,186,85,yes,8.97,3.098948,0.163028,1.05625,11.084688,4.563504,0.73,1.710464,0.325698,0.73,3.915765,BRA1,Testing,2024,0.2359326222551997,0.1787666300038901,0.2099184987130208
18,Breno Bidon,Corinthians U20,Corinthians,"RDMF, LDMF, LCMF",RDMF,7,19,0,,17,1178,Brazil,Brazil,left,174,70,no,7.33,3.664604,0.7619199999999999,3.28719,9.093060000000001,5.427632,1.07,2.522345,0.611398,1.07,5.502354,BRA1,Testing,2024,0.479806138743415,0.4739189853485513,0.4827704538738695
19,Danilo Barbosa,Botafogo,Botafogo,"RDMF, RCMF, LCMF",RDMF,7,28,2500000,2025-06-30,22,1203,Brazil,Brazil,right,183,74,no,9.05,3.593936,2.168576,1.646932,9.799173999999999,4.560106999999999,1.05,2.767413,0.675,0.82,4.71339,BRA1,Testing,2024,0.6850057629443962,0.6947119364506893,0.6984055710904672
20,André,Fluminense,Fluminense,"LDMF, RDMF, RCMF",LDMF,7,23,25000000,2026-12-31,12,1208,Brazil,Brazil,right,176,77,no,8.2,3.35,0.445744,1.488807,11.92376,3.202848,0.97,3.728076,0.9715639999999999,0.6,5.659653,BRA1,Testing,2024,0.1412833590143478,0.1502118426698424,0.1475532805672022
21,Léo Ortiz,Flamengo,Flamengo,"RDMF, RCB, RCMF",RDMF,7,28,8000000,2028-12-31,16,1216,Brazil,Brazil,right,185,82,no,6.66,2.958813,1.629204,2.661243,11.103024,5.850856,0.89,0.8872019999999999,0.444,1.11,5.252268,BRA1,Testing,2024,0.5829326895898435,0.6432291609654047,0.6206764382756259
22,Hugo Moura,Vasco da Gama,Vasco da Gama,"RDMF, RCMF",RDMF,7,26,1500000,2026-06-30,17,1237,Brazil,Brazil,right,182,79,yes,10.26,5.528278,0.6525,3.785418,9.898287,5.601357999999999,1.38,1.453397,0.802025,0.58,4.875488,BRA1,Testing,2024,0.9204592464129376,0.7586651837434014,0.8499636245077153
23,Allan,Flamengo,Flamengo,"LDMF, RDMF, LCMF",LDMF,7,27,6000000,2027-12-31,19,1241,Brazil,Brazil,left,172,74,no,10.08,5.220348,0.7249129999999999,2.537355,9.7875,4.56918,1.09,1.09,0.581297,1.31,6.672048,BRA1,Testing,2024,0.5391786416945976,0.5851919762095963,0.5691502717251561
24,Lucas Kal,Al Riyadh,Atlético GO,"DMF, RDMF",DMF,7,28,1400000,2025-05-30,17,1302,Brazil,"Brazil, Italy",right,186,78,no,8.36,3.73191,0.9671759999999999,2.42,8.708352,5.391976000000001,0.55,0.8306999999999999,0.205728,0.48,5.393454,BRA1,Testing,2024,0.4890858712375297,0.4765106432021787,0.4887796868923977
25,Luan Silva,Vitória,Vitória,"DMF, RCMF",DMF,7,25,2000000,2026-12-31,19,1339,Brazil,Brazil,right,175,81,yes,5.85,2.484279,1.145,1.683048,6.386380000000002,2.35468,0.47,0.9395220000000001,0.27,0.13,2.351181,BRA1,Testing,2024,0.2184183867082485,0.1440895429219866,0.183499535976982
