Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,xG,xA,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Duelos_Ofensivos_Ganhos_LM,xG_LM,xA_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,xG_Rank,xA_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,xG_Percentil,xA_Percentil
33,0.482428,0.816132,0.238227,0.266293,0.401879,0.205128,0.096774,0.5121,Jonathan Cafú,Cuiabá,Cuiabá,"RW, RAMF, RWF",RW,10,33,300000,2024-12-31,19,1209,Brazil,"Brazil, Bulgaria",right,175,68,no,BRA1,Testing,2024,Extremo Tático,0.512,34,58,41,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,21.0,3,37,34,29,49.0,50.0,63,94,36,41,50,15,13
34,0.402556,0.400443,0.575803,0.225856,0.499035,0.230769,0.451613,0.471658,Matheuzinho,Vitória,Vitória,"RW, AMF, RWF",RW,10,26,1500000,2025-12-31,23,1868,Brazil,Brazil,right,165,59,no,BRA1,Testing,2024,Extremo Tático,0.472,35,58,39,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,30.0,36,15,42,19,45.0,13.5,48,37,74,27,67,22,76
35,0.507987,0.719678,0.516544,0.183387,0.616863,0.461538,0.16129,0.468388,J. Arias,Fluminense,Fluminense,"RW, LAMF, RAMF",RW,10,26,14000000,2026-06-30,14,1422,Colombia,Colombia,right,168,70,no,BRA1,Testing,2024,Extremo Tático,0.468,36,58,37,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,18.5,8,18,46,12,14.0,43.0,68,86,68,20,79,75,25
36,0.317891,0.309109,0.66557,0.306408,0.103558,0.153846,0.129032,0.429088,Rodrigo Nestor,São Paulo,São Paulo,"LAMF, LCMF, LW",LAMF,10,24,9000000,2028-06-30,18,913,Brazil,Brazil,right,175,65,no,BRA1,Testing,2024,Extremo Tático,0.429,37,58,36,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,39.0,45,12,28,54,54.5,46.5,32,22,79,51,6,6,19
37,0.196486,0.243844,0.388455,0.348266,0.385448,0.538462,0.193548,0.42658,Lázaro,Palmeiras,Palmeiras,"LAMF, LWF, LWB",LAMF,10,22,3500000,2028-06-30,15,838,Brazil,Brazil,right,181,69,yes,BRA1,Testing,2024,Extremo Tático,0.427,38,58,34,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,53.0,50,28,24,32,9.0,38.0,8,13,51,58,44,84,34
38,0.399361,0.521237,0.235194,0.261471,0.359392,0.358974,0.129032,0.400501,Clayson,Cuiabá,Cuiabá,"LW, LAMF, LWF",LW,10,29,1000000,2025-12-31,20,1191,Brazil,Brazil,right,166,63,no,BRA1,Testing,2024,Extremo Tático,0.401,39,58,32,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,31.0,23,38,35,37,27.5,46.5,46,60,34,39,36,52,19
39,0.573482,0.58804,0.082542,0.131829,0.601727,0.358974,0.225806,0.334935,Luiz Henrique,Botafogo,Botafogo,"RAMF, RW",RAMF,10,23,12000000,2028-12-31,24,1805,Brazil,Brazil,left,182,77,no,BRA1,Testing,2024,Extremo Tático,0.335,40,58,31,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,13.0,18,50,52,14,27.5,32.5,77,68,13,10,75,52,43
40,0.341853,0.491734,0.158176,0.224289,0.312716,0.435897,0.322581,0.325894,Rayan,Vasco da Gama,Vasco da Gama,"RAMF, RW, RWF",RAMF,10,18,0,,15,603,Brazil,Brazil,left,185,75,no,BRA1,Testing,2024,Extremo Tático,0.326,41,58,29,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,35.0,26,46,43,43,18.5,24.0,39,55,20,25,25,68,58
41,0.265176,0.332371,0.222283,0.255513,0.370935,0.307692,0.387097,0.31298,Wanderson,Internacional,Internacional,"LAMF, LW",LAMF,10,29,8000000,2025-12-31,12,838,Brazil,"Brazil, Belgium",right,176,74,no,BRA1,Testing,2024,Extremo Tático,0.313,42,58,27,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,46.0,41,41,38,34,32.0,19.0,20,29,29,34,41,44,67
42,0.541534,0.467587,0.202351,0.126824,0.445668,0.641026,0.193548,0.307865,Julimar,Athletico Paranaense,Athletico Paranaense,"LAMF, LW, RAMF",LAMF,10,23,400000,2026-12-31,23,1343,Brazil,Brazil,right,182,82,no,BRA1,Testing,2024,Extremo Tático,0.308,43,58,25,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,14.0,28,45,53,25,5.5,38.0,75,51,22,8,56,90,34
43,0.384984,0.446933,0.210363,0.151578,0.490174,0.230769,0.193548,0.29339,Marcelinho,Juventude,Juventude,"LAMF, RW",LAMF,10,21,400000,2024-12-31,16,909,Brazil,Brazil,right,165,69,yes,BRA1,Testing,2024,Extremo Tático,0.293,44,58,24,0.422992,0.473706,0.394296,0.331651,0.433913,0.367374,0.313682,32.5,30,44,49,20,45.0,38.0,43,48,24,15,65,22,34
