Unnamed: 0,Duelos_Aéreos_Ganhos,Duelos_Ofensivos_Ganhos,xG,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Aéreos_Ganhos_LM,Duelos_Ofensivos_Ganhos_LM,xG_LM,Conversão_Gols_LM,Conversão_xG_LM,Ameaça_Ofensiva_LM,xA_LM,Deep_Completions_LM,Passes_Chave_LM,Passes_ÁreaPênalti_Certos_LM,Duelos_Aéreos_Ganhos_Rank,Duelos_Ofensivos_Ganhos_Rank,xG_Rank,Conversão_Gols_Rank,Conversão_xG_Rank,Ameaça_Ofensiva_Rank,xA_Rank,Deep_Completions_Rank,Passes_Chave_Rank,Passes_ÁreaPênalti_Certos_Rank,Duelos_Aéreos_Ganhos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,xG_Percentil,Conversão_Gols_Percentil,Conversão_xG_Percentil,Ameaça_Ofensiva_Percentil,xA_Percentil,Deep_Completions_Percentil,Passes_Chave_Percentil,Passes_ÁreaPênalti_Certos_Percentil
38,0.063041,0.26322,0.294118,0.600006,0.61875,0.361314,0.272727,0.47,0.128571,0.372939,0.572847,Paulinho,Atlético Mineiro,Atlético Mineiro,"CF, AMF",CF,12,24,17000000,2026-12-31,22,1975,Brazil,Brazil,right,177,80,no,BRA1,Testing,2024,Atacante Referência,0.573,39,58,32,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,54,31,39.0,11.0,7.0,27.0,27.0,5.0,49.5,13,6,46,32,81,87,53,53,91,14,77
39,0.098836,0.205603,0.352941,0.600006,0.478261,0.511645,0.136364,0.045,0.7,0.31452,0.569259,Eduardo,Botafogo,Botafogo,"CF, AMF, LW",CF,12,35,1000000,2024-12-31,12,741,Brazil,Brazil,right,184,72,no,BRA1,Testing,2024,Atacante Referência,0.569,40,58,31,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,50,39,35.0,11.0,21.0,12.0,46.0,52.0,7.5,18,13,32,39,81,63,79,20,10,87,68
40,0.193338,0.346108,0.431373,0.365854,0.390432,0.35324,0.681818,0.43,0.257143,0.593846,0.560824,F. Cristaldo,Grêmio,Grêmio,"CF, AMF",CF,12,28,10000000,2026-12-31,28,1958,Argentina,"Argentina, Paraguay",right,175,69,no,BRA1,Testing,2024,Atacante Referência,0.561,41,58,29,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,42,21,30.0,31.0,33.0,30.0,6.0,9.0,37.0,3,27,63,48,46,43,48,89,84,36,94
41,0.465971,0.411682,0.666667,0.166682,0.141026,0.47633,0.045455,0.165,0.0,0.155106,0.5596,E. Valencia,Internacional,Internacional,CF,CF,12,34,2500000,2026-06-30,16,746,Ecuador,Ecuador,right,177,74,no,BRA1,Testing,2024,Atacante Referência,0.56,42,58,27,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,17,12,13.0,47.0,48.0,16.5,54.0,39.0,55.5,42,70,79,77,18,17,71,6,32,4,27
42,0.454112,0.052878,0.313725,0.230762,0.305556,0.252717,0.136364,0.28,0.2,0.27371,0.518387,Pablo,Athletico Paranaense,Athletico Paranaense,"CF, AMF",CF,12,32,800000,2025-12-31,21,1272,Brazil,Brazil,right,185,79,no,BRA1,Testing,2024,Atacante Referência,0.518,43,58,25,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,18,56,37.0,45.5,41.0,43.0,46.0,21.0,42.5,23,68,3,36,21,29,25,20,63,26,60
43,0.398177,0.165575,0.254902,0.272733,0.43287,0.190039,0.181818,0.055,0.128571,0.073856,0.506468,Gilberto,Juventude,Juventude,CF,CF,12,35,400000,2024-12-31,19,1052,Brazil,Brazil,right,178,75,no,BRA1,Testing,2024,Atacante Referência,0.506,44,58,24,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,24,47,44.0,42.5,25.0,51.0,39.0,49.0,49.5,53,58,18,24,26,56,12,32,15,14,8
44,0.319832,0.58451,0.156863,0.125011,0.246795,0.114022,0.090909,0.185,0.314286,0.126786,0.497317,Janderson,Vitória,Vitória,"CF, RW, LW",CF,12,25,0,,21,1219,Brazil,Brazil,right,189,77,no,BRA1,Testing,2024,Atacante Referência,0.497,45,58,22,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,30,7,49.5,48.0,45.0,55.0,51.0,38.0,31.5,47,48,87,14,17,22,5,12,34,45,18
45,0.307824,0.746181,0.137255,0.0,0.0,0.185755,0.0,0.04,0.171429,0.099095,0.444405,John Kennedy,Fluminense,Fluminense,"CF, LAMF",CF,12,22,7000000,2026-12-31,19,781,Brazil,Brazil,right,181,73,no,BRA1,Testing,2024,Atacante Referência,0.444,46,58,20,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,33,3,51.0,54.0,54.0,52.0,57.0,54.0,45.0,51,43,94,12,6,6,10,1,6,22,12
46,0.54989,0.112688,0.098039,0.0,0.0,0.350649,0.181818,0.205,0.4,0.060319,0.423691,João Pedro,Fenerbahçe,Grêmio,CF,CF,12,32,3000000,2025-06-30,11,640,Brazil,"Brazil, Italy",right,184,73,no,BRA1,Testing,2024,Atacante Referência,0.424,47,58,18,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,13,51,55.0,54.0,54.0,31.0,39.0,32.5,25.0,54,77,12,5,6,6,46,32,43,56,6
47,0.081582,0.884769,0.117647,0.0,0.0,0.054963,0.545455,0.46,0.257143,0.383007,0.405693,Endrick,Palmeiras,Palmeiras,"CF, AMF, RWF",CF,12,17,0,,6,506,Brazil,Brazil,left,171,64,no,BRA1,Testing,2024,Atacante Referência,0.406,48,58,17,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,51,2,52.5,54.0,54.0,57.0,8.0,6.0,37.0,12,12,96,9,6,6,1,86,89,36,79
48,0.0,0.380888,0.098039,0.264723,0.504167,0.132069,0.5,0.485,0.742857,0.533175,0.376138,Cauly,Bahia,Bahia,"CF, AMF",CF,12,29,6000000,2028-12-31,31,2451,Brazil,"Brazil, Germany",right,175,68,no,BRA1,Testing,2024,Atacante Referência,0.376,49,58,15,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,58,17,55.0,44.0,15.5,53.0,9.5,4.0,6.0,6,0,70,5,24,73,8,83,93,89,89
49,0.470124,0.224411,0.27451,0.0,0.0,0.258592,0.227273,0.54,0.2,0.293516,0.365591,Pedro Raul,Corinthians,Corinthians,CF,CF,12,27,3000000,2028-12-31,17,658,Brazil,Brazil,right,193,86,no,BRA1,Testing,2024,Atacante Referência,0.366,50,58,13,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,16,36,42.0,54.0,54.0,42.0,32.5,2.0,42.5,21,72,37,27,6,6,27,43,96,26,63
50,0.151812,0.196413,0.568627,0.279063,0.296569,0.348612,0.409091,0.285,0.628571,0.310801,0.362321,Rony,Palmeiras,Palmeiras,"CF, LAMF",CF,12,29,9000000,2026-12-31,29,1618,Brazil,Brazil,right,166,65,no,BRA1,Testing,2024,Atacante Referência,0.362,51,58,12,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,45,42,22.0,41.0,43.0,32.0,15.0,19.5,14.0,19,22,27,62,29,25,44,74,66,75,67
51,0.438298,0.036456,0.372549,0.0,0.0,0.53982,0.0,0.105,0.0,0.104481,0.357384,L. Alario,Internacional,Internacional,CF,CF,12,32,1500000,2025-12-31,15,745,Argentina,"Argentina, Italy",right,184,78,no,BRA1,Testing,2024,Atacante Referência,0.357,52,58,10,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,21,57,33.5,54.0,54.0,9.0,57.0,45.5,55.5,50,63,1,42,6,6,84,1,21,4,13
52,0.118415,0.257037,0.333333,0.230762,0.354167,0.198458,0.5,0.44,0.485714,0.816458,0.303135,João Cruz,Athletico Paranaense U20,Athletico Paranaense,"CF, LCMF, RDMF",CF,12,18,0,,10,522,Brazil,Brazil,unknown,0,0,no,BRA1,Testing,2024,Atacante Referência,0.303,53,58,8,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,48,32,36.0,45.5,36.0,50.0,9.5,7.5,20.5,2,17,44,37,21,37,13,83,87,64,96
53,0.220087,0.175063,0.666667,0.111121,0.094017,0.47633,0.090909,0.045,0.114286,0.137872,0.288657,Kaio Jorge,Cruzeiro,Cruzeiro,"CF, RWF, LWF",CF,12,22,4000000,2028-12-31,14,1120,Brazil,Brazil,right,182,71,no,BRA1,Testing,2024,Atacante Referência,0.289,54,58,6,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,40,45,13.0,49.0,49.0,16.5,51.0,52.0,51.5,44,31,22,77,15,15,71,12,10,11,24
54,0.07415,0.0,0.411765,0.300003,0.334936,0.332612,0.227273,0.115,0.271429,0.13643,0.220846,G. Cano,Fluminense,Fluminense,CF,CF,12,36,1400000,2025-12-31,20,1432,Argentina,Argentina,right,177,72,no,BRA1,Testing,2024,Atacante Referência,0.221,55,58,5,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,53,58,32.0,39.5,38.0,35.0,32.5,44.0,34.5,45,8,0,44,31,34,39,43,24,40,22
55,0.166558,0.396221,0.0,0.0,0.0,0.0,0.318182,0.105,0.0,0.0,0.180037,Everton Galdino,Grêmio,Grêmio,"CF, LW, RW",CF,12,27,2000000,2026-12-31,12,502,Brazil,Brazil,left,178,76,no,BRA1,Testing,2024,Atacante Referência,0.18,56,58,3,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,43,14,58.0,54.0,54.0,58.0,23.5,45.5,55.5,58,25,75,0,6,6,0,59,21,4,0
56,0.13023,0.280244,0.098039,0.0,0.0,0.118046,0.136364,0.0,0.428571,0.191728,0.054142,Gabriel Taliari,Juventude,Juventude,CF,CF,12,27,600000,2026-12-31,14,606,Brazil,Brazil,right,177,66,no,BRA1,Testing,2024,Atacante Referência,0.054,57,58,1,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,47,28,55.0,54.0,54.0,54.0,46.0,58.0,24.0,37,18,51,5,6,6,6,20,0,58,36
57,0.03035,0.106448,0.156863,0.0,0.0,0.24569,0.590909,0.24,0.457143,0.453511,0.0,Éder,Criciúma,Criciúma,CF,CF,12,37,0,2024-12-31,16,853,Brazil,"Brazil, Italy",right,179,78,no,BRA1,Testing,2024,Atacante Referência,0.0,58,58,0,0.357836,0.315549,0.448952,0.390007,0.385202,0.377119,0.304859,0.24319,0.388177,0.269181,56,52,49.5,54.0,54.0,45.0,7.0,25.0,22.5,8,3,10,14,6,6,22,87,56,61,86
