Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Passes_Inteligentes_Certos,Passes_EntreLinhas_Certos,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
34,Julimar,Athletico Paranaense,Athletico Paranaense,"LAMF, LW, RAMF",LAMF,10,23,400000,2026-12-31,23,1343,Brazil,Brazil,right,182,82,no,0.535398,3.41662,2.008016,4.421508,3.149,0.28,1.139355,6.383,0.1,0.54,0.065,0.0,0.47,BRA1,Testing,2024,0.4247000671139146,0.4079692156687464,0.4163346413913305
35,A. Cruz,Atlético GO,Atlético GO,"LWF, LW, LB",LWF,11,24,700000,2024-12-31,24,1347,Uruguay,Uruguay,left,170,67,no,1.268703,6.015762,4.476976,2.606896,1.602042,0.11,0.268558,7.143,0.15,1.67,0.065,0.065,0.33,BRA1,Testing,2024,0.45983704049028,0.4660808018469432,0.4629589211686115
36,Adson,Vasco da Gama,Vasco da Gama,"RAMF, RW, LAMF",RAMF,10,23,4500000,2027-12-31,20,1356,Brazil,Brazil,left,171,64,no,1.195794,7.435768,3.451488,3.651353,1.590628,0.13,0.6625530000000001,8.333,0.14,1.39,0.13334,0.26668,0.53,BRA1,Testing,2024,0.4773664665943791,0.4962432159128117,0.4868048412535954
37,Gustavo Nunes,Grêmio,Grêmio,"LW, LAMF",LW,10,18,0,,20,1382,Brazil,Brazil,right,173,69,no,0.9783,4.750848,3.7088,5.667396,3.844743,0.12,0.455,21.429,0.07,0.52,0.13,0.13334,0.2,BRA1,Testing,2024,0.7476522025950408,0.7433899104159415,0.745521056505491
38,Arthur Gomes,Dinamo Moskva,Cruzeiro,LWF,LWF,11,26,3000000,2029-06-30,21,1399,Brazil,Brazil,right,174,69,no,0.8385000000000001,3.4713,2.636792,4.374916000000001,3.27852,0.16,0.8357399999999999,7.143,0.05,0.64,0.129987,0.32,0.39,BRA1,Testing,2024,0.4891725503542869,0.5124751472158383,0.5008238487850625
39,J. Arias,Fluminense,Fluminense,"RW, LAMF, RAMF",RW,10,26,14000000,2026-06-30,14,1422,Colombia,Colombia,right,168,70,no,0.126654,5.446426,2.401245,5.696838000000001,2.913118,0.21,0.76,6.667,0.09,1.14,0.126673,0.126673,0.38,BRA1,Testing,2024,0.5507690440295951,0.5990241355836067,0.5748965898066009
40,Estevão,Palmeiras U20,Palmeiras,RAMF,RAMF,10,17,0,,21,1428,Brazil,Brazil,left,170,62,no,0.946476,4.666518,3.151937,7.056862,5.420141999999999,0.31,1.324464,15.385,0.26,1.58,0.1875,0.188584,0.76,BRA1,Testing,2024,0.8710122849352743,0.9665645578125261,0.9187884213739002
41,Lucas Moura,São Paulo,São Paulo,"RAMF, AMF, LAMF",RAMF,10,32,5000000,2026-12-31,17,1437,Brazil,Brazil,right,174,70,no,0.815442,6.953010000000001,5.137338,4.698586,1.877928,0.23,0.815,19.231,0.09,0.88,0.189,0.312525,0.38,BRA1,Testing,2024,0.7264315998247063,0.7531110958906106,0.7397713478576584
42,Tchê Tchê,Botafogo,Botafogo,"LW, LCMF, LAMF",LW,10,32,1800000,2025-12-31,22,1491,Brazil,Brazil,right,175,66,no,2.593534,8.569728000000001,4.887,1.448907,0.364,0.03,0.303125,0.0,0.07,0.42,0.120006,0.3,0.3,BRA1,Testing,2024,0.4993805904576178,0.4777466461532635,0.4885636183054406
43,Yago Pikachu,Fortaleza,Fortaleza,"RAMF, RW",RAMF,10,32,1200000,2025-12-31,22,1492,Brazil,Brazil,right,169,63,no,1.325958,4.281795,3.075248,2.592513,1.085545,0.16,0.362,6.667,0.08,0.48,0.06,0.059994,0.24,BRA1,Testing,2024,0.2626776857870826,0.2252867711341356,0.243982228460609
44,David,Vasco da Gama,Vasco da Gama,"LAMF, LW, LWF",LAMF,10,28,2000000,2025-12-31,20,1587,Brazil,Brazil,right,180,71,yes,0.5078910000000001,2.663118,2.044392,3.5721,1.53,0.13,0.339966,14.815,0.11,0.96,0.226678,0.22856,0.51,BRA1,Testing,2024,0.2503988043404914,0.243542629282237,0.2469707168113642
45,H. Mosquera,Red Bull Bragantino,Red Bull Bragantino,"LW, CF, LAMF",LW,10,22,0,,23,1609,Colombia,Colombia,right,175,68,no,0.2222,2.462659,1.790343,6.094647,3.524997,0.11,0.447228,0.0,0.04,0.84,0.056661,0.056661,0.28,BRA1,Testing,2024,0.5791153703270028,0.5124396495583646,0.5457775099426836
46,Breno Lopes,Fortaleza,Fortaleza,"LAMF, LW",LAMF,10,28,1800000,2024-12-31,22,1637,Brazil,Brazil,right,178,72,yes,0.935088,2.52681,1.92164,5.222014000000001,2.750022,0.14,0.713088,11.429,0.13,0.71,0.0,0.0,0.16,BRA1,Testing,2024,0.4457744425519088,0.405027079650227,0.4254007611010678
47,Wesley,Internacional,Internacional,"LAMF, RAMF, LW",LAMF,10,25,5500000,2026-12-31,20,1637,Brazil,Brazil,right,175,64,no,0.9316000000000001,4.671625000000001,3.740000000000001,7.584899,4.397049,0.22,0.9881399999999999,10.638,0.11,0.77,0.21816,0.11,0.33,BRA1,Testing,2024,0.8689734035586774,0.8458683502162595,0.8574208768874683
48,Wesley,Al Nassr,Corinthians,"LAMF, LW, LWF",LAMF,10,19,0,,23,1638,Brazil,Brazil,right,180,71,no,1.045044,2.584922999999999,3.189846000000001,7.088932,4.724844,0.1,0.7149449999999998,6.667,0.09,1.15,0.053328,0.053328,0.27,BRA1,Testing,2024,0.8362323968293383,0.819225350421995,0.8277288736256665
49,Luiz Araújo,Flamengo,Flamengo,"RAMF, RW, AMF",RAMF,10,28,4000000,2027-12-31,22,1673,Brazil,Brazil,left,175,70,no,1.87949,4.623885,3.064842,4.734236,3.015056,0.1,0.8616300000000001,7.692,0.23,1.4,0.108,0.159984,0.48,BRA1,Testing,2024,0.5662336422704393,0.6368695445487937,0.6015515934096165
50,Lucas Barbosa,Juventude,Juventude,"RAMF, RW",RAMF,10,23,2000000,2026-07-31,22,1779,Brazil,Brazil,left,194,84,yes,1.970132,3.59346,2.93432,2.985147,1.414656,0.14,0.405384,13.333,0.06,0.66,0.05,0.05001499999999999,0.4,BRA1,Testing,2024,0.271230644492561,0.2702540434028184,0.2707423439476897
51,Luiz Henrique,Botafogo,Botafogo,"RAMF, RW",RAMF,10,23,12000000,2028-12-31,24,1805,Brazil,Brazil,left,182,77,no,0.35,2.64261,2.042812,5.584083,3.488026,0.17,0.5999399999999999,15.152,0.11,1.0,0.05,0.05,0.55,BRA1,Testing,2024,0.5690111357954836,0.5435913605552658,0.5563012481753746
52,Gustavo Scarpa,Atlético Mineiro,Atlético Mineiro,"RWB, LWB, RAMF",RAMF,10,30,8000000,2027-12-31,21,1827,Brazil,"Brazil, Italy",left,176,74,no,4.1875,7.785056,8.078404999999998,4.286949,2.4647,0.2,0.886578,7.407,0.17,1.48,0.147258,0.393014,0.44,BRA1,Testing,2024,1.0,1.0,1.0
53,Erick Farias,Juventude,Juventude,"LW, CF, LAMF",LW,10,27,1300000,2026-12-31,25,1839,Brazil,Brazil,right,174,79,no,0.489459,3.473539,1.126327,2.595606,1.4184,0.14,0.6831999999999999,12.0,0.1,0.44,0.0,0.05,0.24,BRA1,Testing,2024,0.1101203664160869,0.09152179197185475,0.1008210791939708
54,Matheuzinho,Vitória,Vitória,"RW, AMF, RWF",RW,10,26,1500000,2025-12-31,23,1868,Brazil,Brazil,right,165,59,no,1.105297,5.82926,2.696495,4.819069999999999,2.16776,0.12,0.7243339999999999,11.429,0.18,1.2,0.24375,0.14625,0.24,BRA1,Testing,2024,0.5004739966363297,0.5274965476890019,0.5139852721626658
55,Shaylon,Atlético GO,Atlético GO,"RWF, RW, LCMF",RWF,11,27,2000000,2025-12-31,24,1941,Brazil,Brazil,left,178,70,no,2.32042,6.723720000000001,4.21923,1.112616,0.6047640000000001,0.18,0.416768,5.263,0.21,2.13,0.233352,0.18524,0.46,BRA1,Testing,2024,0.4676220305315603,0.4983033696117088,0.4829627000716345
56,Gerson,Flamengo,Flamengo,"RAMF, LDMF, RW",RAMF,10,27,14000000,2027-12-31,24,1959,Brazil,Brazil,left,184,78,no,1.515528,7.899287999999999,3.862215,4.732150000000001,2.11344,0.07,0.321382,4.545,0.06,0.74,0.0,0.09271800000000001,0.28,BRA1,Testing,2024,0.5504264901324868,0.5532279261580523,0.5518272081452695
57,Luiz Fernando,Atlético GO,Atlético GO,"LWF, LW, LAMF",LWF,11,27,1500000,2024-12-31,23,2194,Brazil,Brazil,right,178,65,no,0.8639999999999999,3.566836,2.627621,3.692868,1.765,0.23,0.695728,13.953,0.04,0.74,0.042,0.0,0.29,BRA1,Testing,2024,0.3235096066167239,0.2997588428119208,0.3116342247143223
