Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Progressivos_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Progressivos_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Progressivos_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Progressivos_Certos_Percentil
10,0.743713,0.329174,0.752854,0.007697,0.71835,Raniele,Corinthians,Corinthians,"DMF, RDMF, LDMF",DMF,7,27,3500000,2028-12-31,26,2076,Brazil,Brazil,right,184,78,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.718,11,52,78,0.419461,0.325534,0.342082,0.328198,5.0,24,3,50,90,53,94,3
11,0.602395,0.493123,0.294704,0.38429,0.710919,Allan,Flamengo,Flamengo,"LDMF, RDMF, LCMF",LDMF,7,27,6000000,2027-12-31,22,1455,Brazil,Brazil,left,172,74,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.711,12,52,76,0.419461,0.325534,0.342082,0.328198,8.0,11,28,18,84,78,46,65
12,0.414371,0.40106,0.375897,0.500317,0.69736,L. Romero,Cruzeiro,Cruzeiro,DMF,DMF,7,30,3200000,2025-12-31,26,2215,Argentina,"Argentina, Italy",right,170,68,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.697,13,52,75,0.419461,0.325534,0.342082,0.328198,27.0,14,20,9,48,73,61,82
13,0.497006,0.302732,0.304396,0.535198,0.677062,A. Moreno,Palmeiras,Palmeiras,"RDMF, LDMF, LCMF",RDMF,7,25,10000000,2028-12-31,26,2177,Argentina,Argentina,right,178,73,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.677,14,52,73,0.419461,0.325534,0.342082,0.328198,16.0,26,27,7,69,50,48,86
14,0.529341,0.238316,0.995047,0.192384,0.660471,G. Freitas,Atlético GO,Atlético GO,"DMF, LDMF, RDMF",DMF,7,33,400000,2024-12-31,9,718,Uruguay,Uruguay,right,186,78,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.66,15,52,71,0.419461,0.325534,0.342082,0.328198,14.0,34,2,36,73,34,96,30
15,0.487425,0.242099,0.717065,0.322188,0.656204,Danilo Barbosa,Botafogo,Botafogo,"RDMF, RCMF, LCMF",RDMF,7,28,2500000,2025-06-30,24,1285,Brazil,Brazil,right,183,74,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.656,16,52,69,0.419461,0.325534,0.342082,0.328198,17.0,33,4,26,67,36,92,50
16,0.585629,0.601251,0.150204,0.346179,0.649388,Du Queiroz,Grêmio,Grêmio,"RDMF, RCMF, AMF",RDMF,7,24,3000000,2028-06-30,14,657,Brazil,Brazil,right,171,65,yes,BRA1,Testing,2024,Primeiro Volante Defensivo,0.649,17,52,67,0.419461,0.325534,0.342082,0.328198,9.0,4,43,23,82,92,17,55
17,0.453892,0.570017,0.325155,0.351567,0.646574,F. Carballo,New York RB,Grêmio,"LDMF, RCMF, LCMF",LDMF,7,27,5000000,2026-12-31,9,536,Uruguay,"Uruguay, Italy",right,177,72,yes,BRA1,Testing,2024,Primeiro Volante Defensivo,0.647,18,52,65,0.419461,0.325534,0.342082,0.328198,21.0,6,24,22,59,88,53,57
18,0.068263,0.08226,0.438131,0.97911,0.636455,Fernandinho,Athletico Paranaense,Athletico Paranaense,"LDMF, LCMF, RCMF",LDMF,7,39,400000,2024-12-31,18,1522,Brazil,Brazil,right,179,67,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.636,19,52,63,0.419461,0.325534,0.342082,0.328198,51.0,50,13,2,1,3,75,96
19,0.432335,0.162368,0.669245,0.333714,0.587755,Thiago Maia,Internacional,Internacional,"LDMF, DMF, LCMF",LDMF,7,27,6000000,2026-12-31,23,1795,Brazil,Brazil,left,179,79,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.588,20,52,61,0.419461,0.325534,0.342082,0.328198,23.0,41,5,24,55,21,90,53
20,0.0,0.082284,0.230348,1.0,0.578337,N. de la Cruz,Flamengo,Flamengo,"LDMF, RDMF, LCMF",LDMF,7,27,18000000,2028-06-30,12,951,Uruguay,Uruguay,right,167,65,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.578,21,52,59,0.419461,0.325534,0.342082,0.328198,52.0,49,32,1,0,5,38,98
21,0.428743,0.282622,0.139069,0.512289,0.572359,Raul,Red Bull Bragantino,Red Bull Bragantino,"DMF, RDMF, LCMF",DMF,7,28,1500000,2024-12-31,23,1388,Brazil,Brazil,right,180,73,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.572,22,52,57,0.419461,0.325534,0.342082,0.328198,25.0,30,45,8,51,42,13,84
22,0.389222,0.233918,0.310267,0.444024,0.532901,Lucas Kal,Al Riyadh,Atlético GO,"DMF, RDMF",DMF,7,28,1400000,2025-05-30,17,1302,Brazil,"Brazil, Italy",right,186,78,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.533,23,52,55,0.419461,0.325534,0.342082,0.328198,28.0,35,26,13,46,32,50,75
23,0.51018,0.472218,0.382739,0.135532,0.520774,Rezende,Bahia,Bahia,"DMF, LCB, RCMF",DMF,7,29,800000,2025-12-31,18,701,Brazil,Brazil,left,186,84,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.521,24,52,53,0.419461,0.325534,0.342082,0.328198,15.0,12,19,43,71,76,63,17
24,0.582036,0.456883,0.291694,0.175378,0.519695,Caíque,Juventude,Juventude,"LDMF, LCMF",LDMF,7,28,500000,2024-12-31,17,1570,Brazil,Brazil,right,178,72,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.52,25,52,51,0.419461,0.325534,0.342082,0.328198,10.0,13,29,38,80,75,44,26
25,0.143713,0.157827,0.135914,0.760214,0.517396,Marlon Freitas,Botafogo,Botafogo,"LDMF, LCMF, RCMF",LDMF,7,29,3500000,2025-12-31,26,2112,Brazil,Brazil,right,185,78,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.517,26,52,50,0.419461,0.325534,0.342082,0.328198,47.0,43,46,3,9,17,11,94
26,0.48503,0.374761,0.064783,0.391209,0.481213,Jádson,Juventude,Juventude,"RDMF, RCMF",RDMF,7,31,1000000,2025-12-31,26,2486,Brazil,Brazil,right,171,67,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.481,27,52,48,0.419461,0.325534,0.342082,0.328198,18.0,19,49,17,65,63,5,67
27,0.325749,0.098509,0.639972,0.359606,0.473825,J. Sforza,Vasco da Gama,Vasco da Gama,"LDMF, DMF, LCMF",LDMF,7,22,4500000,2028-12-31,22,1380,Argentina,"Argentina, Italy",left,179,71,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.474,28,52,46,0.419461,0.325534,0.342082,0.328198,35.0,47,7,20,32,9,86,61
28,0.294611,0.396123,0.0,0.537113,0.460294,D. Bobadilla,São Paulo,São Paulo,"RDMF, RCMF",RDMF,7,23,2500000,2027-12-31,17,1153,Paraguay,Paraguay,right,181,73,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.46,29,52,44,0.419461,0.325534,0.342082,0.328198,38.0,15,52,6,26,71,0,88
29,0.388024,0.214238,0.366237,0.317947,0.433004,F. Bernal,Fluminense,Fluminense,"RDMF, LCMF, RCMF",RDMF,7,21,0,,9,647,Uruguay,Uruguay,right,187,78,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.433,30,52,42,0.419461,0.325534,0.342082,0.328198,29.5,37,21,29,43,28,59,44
30,0.45509,0.518413,0.169713,0.218916,0.418661,Alexsander,Fluminense,Fluminense,"LDMF, LCMF, RCMF",LDMF,7,21,0,,15,899,Brazil,Brazil,left,177,67,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.419,31,52,40,0.419461,0.325534,0.342082,0.328198,20.0,10,41,35,61,80,21,32
31,0.388024,0.29867,0.516722,0.136813,0.413108,Lucas Mineiro,Cuiabá,Cuiabá,"DMF, RDMF, LDMF",DMF,7,28,1400000,2026-12-31,26,2210,Brazil,Brazil,left,188,80,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.413,32,52,38,0.419461,0.325534,0.342082,0.328198,29.5,28,11,42,43,46,78,19
32,0.302994,0.280132,0.456832,0.3285,0.408904,Bruno Henrique,Internacional,Internacional,"RDMF, LCMF, RAMF",RDMF,7,35,500000,2025-12-31,29,1731,Brazil,"Brazil, Italy",right,180,75,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.409,33,52,36,0.419461,0.325534,0.342082,0.328198,37.0,31,12,25,28,40,76,51
33,0.243114,0.19107,0.169717,0.549228,0.406932,Alisson,São Paulo,São Paulo,"RDMF, RCMF, LDMF",RDMF,7,31,2000000,2024-12-31,16,1500,Brazil,Brazil,right,174,73,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.407,34,52,34,0.419461,0.325534,0.342082,0.328198,43.0,38,40,5,17,26,23,90
34,0.250299,0.369326,0.054012,0.487698,0.394663,Caio Alexandre,Bahia,Bahia,"DMF, RCMF",DMF,7,25,6500000,2028-12-31,29,2473,Brazil,Brazil,right,175,68,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.395,35,52,32,0.419461,0.325534,0.342082,0.328198,41.0,20,50,10,21,61,3,80
35,0.247904,0.322186,0.176992,0.435564,0.372484,Matheus Rossetto,Fortaleza,Fortaleza,"LDMF, RCMF, LCMF",LDMF,7,28,1500000,2024-12-31,16,1165,Brazil,"Brazil, Italy",right,180,75,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.372,36,52,30,0.419461,0.325534,0.342082,0.328198,42.0,25,38,14,19,51,26,73
36,0.293413,0.388982,0.334495,0.275474,0.362623,Zé Rafael,Palmeiras,Palmeiras,LDMF,LDMF,7,31,4500000,2026-12-31,16,1047,Brazil,"Brazil, Italy",right,175,71,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.363,37,52,28,0.419461,0.325534,0.342082,0.328198,39.0,17,22,34,25,67,57,34
37,0.304192,0.300024,0.391197,0.293508,0.360277,Fabinho,Palmeiras,Palmeiras,"RDMF, LDMF, LCMF",RDMF,7,22,5000000,2027-12-31,18,612,Brazil,Brazil,right,178,75,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.36,38,52,26,0.419461,0.325534,0.342082,0.328198,36.0,27,17,33,30,48,67,36
38,0.358084,0.097838,0.666887,0.0,0.341817,Zé Gabriel,Vasco da Gama,Vasco da Gama,"LDMF, DMF, RDMF",LDMF,7,25,1500000,2025-12-31,14,522,Brazil,Brazil,right,184,77,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.342,39,52,25,0.419461,0.325534,0.342082,0.328198,34.0,48,6,52,34,7,88,0
39,0.42994,0.118376,0.027599,0.304858,0.326519,Higor Meritão,Criciúma,Criciúma,"DMF, LCMF, LDMF",DMF,7,30,1300000,2024-12-31,17,1179,Brazil,Brazil,left,186,85,yes,BRA1,Testing,2024,Primeiro Volante Defensivo,0.327,40,52,23,0.419461,0.325534,0.342082,0.328198,24.0,44,51,31,53,15,1,40
40,0.184431,0.184111,0.174353,0.479568,0.307863,Luiz Gustavo,São Paulo,São Paulo,LDMF,LDMF,7,37,350000,2024-12-31,22,1909,Brazil,"Brazil, Germany",left,186,77,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.308,41,52,21,0.419461,0.325534,0.342082,0.328198,46.0,39,39,11,11,25,25,78
41,0.421557,0.384505,0.221234,0.035274,0.282571,Dodi,Grêmio,Grêmio,"LDMF, LCMF, RDMF",LDMF,7,28,700000,2026-12-31,26,2085,Brazil,Brazil,right,169,67,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.283,42,52,19,0.419461,0.325534,0.342082,0.328198,26.0,18,34,49,50,65,34,5
42,0.469461,0.289147,0.161689,0.079704,0.269317,Luís Oyama,Juventude,Juventude,"RDMF, LCMF, RCMF",RDMF,7,27,700000,2025-12-31,16,777,Brazil,"Brazil, Japan",right,171,63,yes,BRA1,Testing,2024,Primeiro Volante Defensivo,0.269,43,52,17,0.419461,0.325534,0.342082,0.328198,19.0,29,42,47,63,44,19,9
43,0.360479,0.227981,0.199858,0.183039,0.231131,Martinelli,Fluminense,Fluminense,"RDMF, LDMF",RDMF,7,23,9000000,2026-12-31,27,2384,Brazil,"Brazil, Italy",right,177,75,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.231,44,52,15,0.419461,0.325534,0.342082,0.328198,33.0,36,37,37,36,30,28,28
44,0.385629,0.268445,0.20551,0.146549,0.219283,Roni,Atlético GO,Atlético GO,"DMF, RB, RCMF",DMF,7,25,2000000,2025-12-31,17,1167,Brazil,Brazil,right,174,68,yes,BRA1,Testing,2024,Primeiro Volante Defensivo,0.219,45,52,13,0.419461,0.325534,0.342082,0.328198,31.0,32,36,41,40,38,30,21
45,0.37006,0.168989,0.110664,0.151644,0.164299,André,Fluminense,Fluminense,"LDMF, RDMF, RCMF",LDMF,7,23,25000000,2026-12-31,12,1208,Brazil,Brazil,right,176,77,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.164,46,52,11,0.419461,0.325534,0.342082,0.328198,32.0,40,48,39,38,23,7,25
46,0.190419,0.106143,0.225218,0.320492,0.159764,Filipe Machado,Vitória,Vitória,"DMF, LCMF",DMF,7,28,1000000,2026-12-31,17,846,Brazil,Brazil,right,174,61,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.16,47,52,9,0.419461,0.325534,0.342082,0.328198,45.0,46,33,27,13,11,36,48
47,0.228743,0.159902,0.324666,0.125654,0.150783,Filipe Augusto,Cuiabá,Cuiabá,"LDMF, RCMF",LDMF,7,31,700000,2024-12-31,15,628,Brazil,Brazil,left,182,77,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.151,48,52,7,0.419461,0.325534,0.342082,0.328198,44.0,42,25,44,15,19,51,15
48,0.253892,0.333203,0.113552,0.118462,0.091876,Hércules,Fortaleza,Fortaleza,"RDMF, RCMF",RDMF,7,24,0,,25,1980,Brazil,Brazil,right,178,75,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.092,49,52,5,0.419461,0.325534,0.342082,0.328198,40.0,23,47,45,23,55,9,13
49,0.083832,0.024269,0.419169,0.057276,0.072977,Luan Silva,Vitória,Vitória,"DMF, RCMF, RDMF",DMF,7,25,2000000,2026-12-31,23,1657,Brazil,Brazil,right,175,81,yes,BRA1,Testing,2024,Primeiro Volante Defensivo,0.073,50,52,3,0.419461,0.325534,0.342082,0.328198,50.0,51,14,48,3,1,73,7
50,0.14012,0.0,0.240371,0.311002,0.054345,Marcos Antônio,São Paulo,São Paulo,"RDMF, DMF, LDMF",RDMF,7,24,4000000,2027-06-30,7,573,Brazil,Brazil,right,166,66,yes,BRA1,Testing,2024,Primeiro Volante Defensivo,0.054,51,52,1,0.419461,0.325534,0.342082,0.328198,48.0,52,31,30,7,0,40,42
51,0.128144,0.114886,0.144846,0.001297,0.0,Lima,Fluminense,Fluminense,"LDMF, RDMF, CF",LDMF,7,28,3000000,2025-12-31,23,1515,Brazil,Brazil,right,181,73,no,BRA1,Testing,2024,Primeiro Volante Defensivo,0.0,52,52,0,0.419461,0.325534,0.342082,0.328198,49.0,45,44,51,5,13,15,1
