Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Finalizações_Bloqueadas_LM,Interceptações_Ajustadas_a_Posse_LM,Passes_Longos_Certos_LM,Passes_Frontais_Certos_LM,Passes_Progressivos_Certos_LM,Passes_Laterais_Certos_LM,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,Passes_TerçoFinal_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Finalizações_Bloqueadas_Rank,Interceptações_Ajustadas_a_Posse_Rank,Passes_Longos_Certos_Rank,Passes_Frontais_Certos_Rank,Passes_Progressivos_Certos_Rank,Passes_Laterais_Certos_Rank,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,Passes_TerçoFinal_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Finalizações_Bloqueadas_Percentil,Interceptações_Ajustadas_a_Posse_Percentil,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Passes_Laterais_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Passes_TerçoFinal_Certos_Percentil
11,0.713043,0.352825,0.723535,0.486111,0.925581,0.300125,0.862383,0.410802,0.5985,0.18725,0.24375,0.234177,0.521057,0.792378,Gabriel Xavier,Bahia,Bahia,RCB,RCB,4,23,2500000,2027-12-31,29,2915,Brazil,Brazil,right,190,85,no,BRA1,Testing,2024,Zagueiro Equilibrado,0.792,12,84,85,0.497702,0.42104,0.42987,0.39666,0.459164,0.2642,0.452313,0.43236,0.422159,0.348921,0.265761,0.251959,0.413769,16.0,51,6,23.0,3.0,24,5,42,20,66,41.0,42.0,26,80,39,92,72,96,71,94,50,76,21,51,50,69
12,0.453913,0.479659,0.195636,0.0,0.313953,0.56903,0.828888,1.0,0.305077,0.534,0.571875,0.287975,0.825984,0.791768,Mariano,Atlético Mineiro,Atlético Mineiro,"RCB, RB, LB",RCB,4,38,250000,2024-12-31,9,592,Brazil,Brazil,right,177,69,no,BRA1,Testing,2024,Zagueiro Equilibrado,0.792,13,84,84,0.497702,0.42104,0.42987,0.39666,0.459164,0.2642,0.452313,0.43236,0.422159,0.348921,0.265761,0.251959,0.413769,48.0,35,76,84.0,62.0,6,6,1,59,17,9.0,30.0,5,42,58,9,0,26,92,92,98,29,79,89,64,94
13,0.735652,0.70257,0.727094,0.611111,0.662791,0.297092,0.372186,0.414836,0.35905,0.266334,0.159375,0.224684,0.411239,0.773947,G. Gómez,Palmeiras,Palmeiras,"RCB, LCB, CB",RCB,4,31,7500000,2026-12-31,21,2154,Paraguay,Paraguay,right,185,85,no,BRA1,Testing,2024,Zagueiro Equilibrado,0.774,14,84,83,0.497702,0.42104,0.42987,0.39666,0.459164,0.2642,0.452313,0.43236,0.422159,0.348921,0.265761,0.251959,0.413769,14.5,7,4,9.5,19.0,25,51,41,49,49,52.0,43.0,40,82,91,95,88,77,70,39,51,41,41,38,48,52
14,0.655652,0.77099,0.545916,0.416667,0.355814,0.425792,0.675811,0.452061,0.660967,0.815332,0.375,0.363924,0.423721,0.772196,Thiago Santos,Fluminense,Fluminense,LCB,LCB,4,35,250000,2025-12-31,21,1805,Brazil,Brazil,right,181,78,no,BRA1,Testing,2024,Zagueiro Equilibrado,0.772,15,84,82,0.497702,0.42104,0.42987,0.39666,0.459164,0.2642,0.452313,0.43236,0.422159,0.348921,0.265761,0.251959,0.413769,21.5,5,20,33.0,57.0,17,14,36,15,4,25.0,20.5,38,74,94,76,60,32,79,83,57,82,95,70,75,54
15,0.532174,0.626352,0.724166,0.256944,0.255814,0.451704,0.968057,0.975625,0.407452,0.18199,0.0,0.512658,0.71092,0.755064,Sabino,São Paulo,São Paulo,"LCB, LB",LCB,4,28,1000000,2026-12-31,8,721,Brazil,Brazil,left,185,88,no,BRA1,Testing,2024,Zagueiro Equilibrado,0.755,16,84,80,0.497702,0.42104,0.42987,0.39666,0.459164,0.2642,0.452313,0.43236,0.422159,0.348921,0.265761,0.251959,0.413769,34.5,13,5,67.0,69.5,15,2,2,41,67,77.0,9.0,7,58,84,94,20,17,82,97,97,51,20,8,89,91
16,0.46087,0.440602,0.612435,0.340278,0.42093,0.408636,0.633932,0.526756,0.562998,0.36142,0.1,0.436709,0.434438,0.723828,L. Villalba,Cruzeiro,Cruzeiro,LCB,LCB,4,30,2000000,2025-12-31,19,1109,Argentina,Argentina,left,177,73,yes,BRA1,Testing,2024,Zagueiro Equilibrado,0.724,17,84,79,0.497702,0.42104,0.42987,0.39666,0.459164,0.2642,0.452313,0.43236,0.422159,0.348921,0.265761,0.251959,0.413769,47.0,42,14,49.0,47.0,18,22,29,23,34,63.5,15.0,35,44,50,83,41,44,78,73,65,72,59,24,82,58
17,0.49913,0.528185,0.532536,0.270833,0.488372,0.197724,0.455144,0.483515,0.398175,0.421312,0.435693,0.484177,0.564443,0.72065,Murilo,Palmeiras,Palmeiras,LCB,LCB,4,27,10000000,2027-12-31,21,2059,Brazil,Brazil,right,188,78,no,BRA1,Testing,2024,Zagueiro Equilibrado,0.721,18,84,78,0.497702,0.42104,0.42987,0.39666,0.459164,0.2642,0.452313,0.43236,0.422159,0.348921,0.265761,0.251959,0.413769,40.0,28,22,65.5,37.0,51,42,33,42,23,15.0,10.5,19,52,66,73,22,55,39,50,60,50,72,82,87,77
18,0.450435,0.582694,0.163594,0.284722,0.213953,0.183369,0.404756,0.679273,0.578283,0.574611,0.8125,0.566456,0.645251,0.720592,Robert Renan,Al Shabab,Internacional,"LCB, LB",LCB,4,20,0,,12,1106,Brazil,Brazil,left,186,78,no,BRA1,Testing,2024,Zagueiro Equilibrado,0.721,19,84,77,0.497702,0.42104,0.42987,0.39666,0.459164,0.2642,0.452313,0.43236,0.422159,0.348921,0.265761,0.251959,0.413769,49.0,19,79,61.5,73.0,54,47,17,22,14,3.0,5.0,12,41,77,5,26,13,35,44,79,73,83,96,94,85
19,0.883478,0.830223,0.392915,0.388889,0.64186,0.018835,0.205712,0.255043,0.394563,0.748732,0.703125,0.392405,0.335854,0.715443,Igor Gomes,Internacional,Internacional,"RCB, RB",RCB,4,23,1500000,2028-12-31,13,798,Brazil,Brazil,right,185,76,no,BRA1,Testing,2024,Zagueiro Equilibrado,0.715,20,84,76,0.497702,0.42104,0.42987,0.39666,0.459164,0.2642,0.452313,0.43236,0.422159,0.348921,0.265761,0.251959,0.413769,4.0,3,48,40.5,23.0,82,70,65,43,5,4.0,18.0,50,95,96,42,51,72,2,16,22,48,94,95,78,40
20,0.365217,0.122148,0.59191,0.409722,0.7,0.444907,0.654224,0.531838,0.659198,0.416261,0.275,0.139241,0.376594,0.707155,Antônio Carlos,Fluminense,Fluminense,"RCB, LCB",RCB,4,31,1800000,2026-12-31,13,1229,Brazil,Brazil,right,190,79,no,BRA1,Testing,2024,Zagueiro Equilibrado,0.707,21,84,75,0.497702,0.42104,0.42987,0.39666,0.459164,0.2642,0.452313,0.43236,0.422159,0.348921,0.265761,0.251959,0.413769,60.0,80,17,36.5,12.0,16,17,28,16,25,36.0,58.5,46,28,4,79,56,85,80,79,66,80,70,57,30,45
