Unnamed: 0,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Acelerações,xG,Conversão_Gols,Conversão_xG,Ameaça_Ofensiva,xA,Assistência_Finalização,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Ofensivos_Ganhos_LM,Dribles_BemSucedidos_LM,Acelerações_LM,xG_LM,Conversão_Gols_LM,Conversão_xG_LM,Ameaça_Ofensiva_LM,xA_LM,Assistência_Finalização_LM,Duelos_Ofensivos_Ganhos_Rank,Dribles_BemSucedidos_Rank,Acelerações_Rank,xG_Rank,Conversão_Gols_Rank,Conversão_xG_Rank,Ameaça_Ofensiva_Rank,xA_Rank,Assistência_Finalização_Rank,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Acelerações_Percentil,xG_Percentil,Conversão_Gols_Percentil,Conversão_xG_Percentil,Ameaça_Ofensiva_Percentil,xA_Percentil,Assistência_Finalização_Percentil
35,0.040654,0.037634,0.285714,0.531915,0.214292,0.208978,0.542439,0.083333,0.154639,0.361883,Kaio Jorge,Cruzeiro,Cruzeiro,"CF, RWF",CF,12,22,4000000,2028-12-31,9,606,Brazil,Brazil,right,182,71,no,BRA1,Testing,2024,Atacante Móvel,0.362,36,46,21,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,45,44,12.0,14.0,37.5,40.0,15,37.5,33.0,2,4,73,69,18,13,67,18,28
36,0.07934,0.087822,0.085714,0.340426,0.249992,0.322105,0.281624,0.083333,0.151203,0.319384,Pablo,Athletico Paranaense,Athletico Paranaense,"CF, AMF",CF,12,32,800000,2025-12-31,18,1030,Brazil,Brazil,right,185,79,no,BRA1,Testing,2024,Atacante Móvel,0.319,37,46,19,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,43,37,35.5,24.0,35.5,34.0,31,37.5,34.5,6,19,22,47,22,26,32,18,25
37,0.248843,0.127604,0.12381,0.212766,0.214292,0.3241,0.209359,0.166667,0.219931,0.312593,Gilberto,Juventude,Juventude,CF,CF,12,35,400000,2024-12-31,14,706,Brazil,Brazil,right,178,75,no,BRA1,Testing,2024,Atacante Móvel,0.313,38,46,17,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,35,32,29.0,34.5,37.5,33.0,40,21.5,20.0,23,30,36,25,18,28,13,53,56
38,0.752321,0.61686,1.0,0.12766,0.125011,0.284211,0.0,0.083333,0.089347,0.305361,Janderson,Vitória,Vitória,"CF, RW, LW",CF,12,25,0,,18,1026,Brazil,Brazil,right,189,77,no,BRA1,Testing,2024,Atacante Móvel,0.305,39,46,15,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,4,4,1.0,37.0,40.0,36.5,46,37.5,41.0,91,91,97,19,13,20,0,18,10
39,0.0,0.074272,0.0,0.340426,0.249992,0.284211,0.411963,0.055556,0.075601,0.29458,G. Cano,Fluminense,Fluminense,CF,CF,12,36,1400000,2025-12-31,15,1220,Argentina,Argentina,right,177,72,no,BRA1,Testing,2024,Atacante Móvel,0.295,40,46,13,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,46,40,43.5,24.0,35.5,36.5,26,43.0,43.0,0,13,5,47,22,20,43,6,6
40,0.152438,0.079374,0.104762,0.085106,0.0,0.0,0.240643,0.361111,0.398625,0.1766,Éder,Criciúma,Criciúma,CF,CF,12,37,0,2024-12-31,16,853,Brazil,"Brazil, Italy",right,179,78,no,BRA1,Testing,2024,Atacante Móvel,0.177,41,46,10,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,40,38,34.0,42.0,43.5,43.5,38,4.5,5.0,13,17,26,8,5,5,17,90,89
41,0.408401,0.389452,0.209524,0.234043,0.0,0.0,0.246077,0.111111,0.178694,0.15975,E. Rodríguez,Atlético GO,Atlético GO,CF,CF,12,21,0,,21,1219,Uruguay,Uruguay,left,190,77,yes,BRA1,Testing,2024,Atacante Móvel,0.16,42,46,8,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,14,8,19.0,32.5,43.5,43.5,37,30.0,30.0,69,82,58,29,5,5,19,34,34
42,0.811901,0.693795,0.438095,0.06383,0.0,0.0,0.137402,0.0,0.0,0.115644,John Kennedy,Fluminense,Fluminense,"CF, LAMF",CF,12,22,7000000,2026-12-31,19,781,Brazil,Brazil,right,181,73,no,BRA1,Testing,2024,Atacante Móvel,0.116,43,46,6,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,2,3,6.0,43.0,43.5,43.5,41,45.5,46.0,95,93,86,6,5,5,10,1,0
43,0.274039,0.0,0.133333,0.212766,0.0,0.0,0.262868,0.138889,0.281787,0.083438,Pedro Raul,Corinthians,Corinthians,CF,CF,12,27,3000000,2028-12-31,17,658,Brazil,Brazil,right,193,86,no,BRA1,Testing,2024,Atacante Móvel,0.083,44,46,4,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,30,46,26.0,34.5,43.5,43.5,34,25.5,13.0,34,0,43,25,5,5,26,44,71
44,0.067371,0.031992,0.0,0.340426,0.0,0.0,0.729479,0.0,0.044674,0.037134,L. Alario,Internacional,Internacional,CF,CF,12,31,1500000,2025-12-31,13,705,Argentina,"Argentina, Italy",right,184,78,no,BRA1,Testing,2024,Atacante Móvel,0.037,45,46,2,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,44,45,43.5,24.0,43.5,43.5,7,45.5,45.0,4,2,5,47,5,5,84,1,2
45,0.158871,0.070622,0.0,0.021277,0.0,0.0,0.421442,0.111111,0.14433,0.0,João Pedro,Fenerbahçe,Grêmio,CF,CF,12,32,3000000,2025-06-30,11,640,Brazil,"Brazil, Italy",right,184,73,no,BRA1,Testing,2024,Atacante Móvel,0.0,46,46,0,0.366703,0.258098,0.235611,0.400093,0.387251,0.41945,0.440456,0.198068,0.241969,39,41,43.5,44.5,43.5,43.5,25,30.0,37.0,15,10,5,3,5,5,45,34,19
