Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
12,Railan,Cuiabá,Cuiabá,RB,RB,1,24,150000,2027-12-31,15,847,Brazil,Brazil,right,185,75,no,8.82,4.354504,1.38142,1.49,6.591233,9.028593,BRA1,Testing,2024,0.4006900793081445,0.371738298486307,0.3862141888972257
13,Vanderlan,Palmeiras,Palmeiras,"LB, LWB",LB,1,22,4000000,2027-12-31,16,849,Brazil,Brazil,left,184,74,no,8.9,5.297372999999999,1.06,0.6375,3.923322,6.466,BRA1,Testing,2024,0.107319468741877,0.1038057087461872,0.1055625887440321
14,Marçal,Botafogo,Botafogo,LB,LB,1,35,600000,2024-12-31,12,850,Brazil,Brazil,left,178,72,no,10.8,4.338954999999999,2.327178,3.176214,6.885852000000001,9.849966,BRA1,Testing,2024,0.7653038154902283,0.7116256664446443,0.7384647409674363
15,Marcelo,Fluminense,Fluminense,LB,LB,1,36,1300000,2024-12-31,12,872,Brazil,"Brazil, Spain",left,174,75,no,7.64,3.302692,0.310878,2.785,7.640382000000001,10.83471,BRA1,Testing,2024,0.3039476252490603,0.2822564960528651,0.2931020606509627
16,A. Bernabéi,Internacional,Internacional,LB,LB,1,23,2000000,2027-05-31,9,917,Argentina,"Argentina, Italy",left,169,65,yes,10.11,4.21724,1.18,1.768196,6.379695000000001,8.240400000000001,BRA1,Testing,2024,0.4146144991618398,0.3650671685706425,0.3898408338662411
17,Kaiki,Cruzeiro,Cruzeiro,LB,LB,1,21,0,,12,930,Brazil,Brazil,left,172,69,no,11.61,7.255272000000001,1.549094,0.6783840000000001,3.288747,7.5483,BRA1,Testing,2024,0.4143392287960708,0.3686283129432553,0.391483770869663
18,M. Ponte,Botafogo,Botafogo,RB,RB,1,21,1500000,2026-12-31,12,944,Uruguay,Uruguay,right,183,77,no,8.2,4.864272,1.237788,1.3328,5.52972,9.441476999999999,BRA1,Testing,2024,0.2998417867073315,0.2774454376464143,0.2886436121768728
19,F. Bustos,River Plate,Internacional,RB,RB,1,28,7000000,2027-12-31,11,966,Argentina,Argentina,right,167,66,no,13.6,6.7104,0.931725,2.982708,7.918372,14.345016,BRA1,Testing,2024,0.8383457576002402,0.7461305773938327,0.7922381674970365
20,Gabriel Inocêncio,Juventude,Juventude,"LB, RB",LB,1,30,250000,2024-12-31,14,980,Brazil,Brazil,right,175,68,no,7.81,4.132858000000001,1.744674,1.012,2.7549,6.888179,BRA1,Testing,2024,0.06012644761952585,0.1079899901978778,0.08405821890870183
21,Mayke,Palmeiras,Palmeiras,"RB, RCB",RB,1,31,3000000,2025-12-31,17,985,Brazil,Brazil,right,179,68,no,10.51,5.296968000000001,1.6425,1.82689,6.947501,13.153602,BRA1,Testing,2024,0.7282620559813335,0.6413030392306832,0.6847825476060083
22,Gilberto,Bahia,Bahia,RB,RB,1,31,3000000,2026-06-30,13,1019,Brazil,Brazil,right,181,68,no,6.98,3.005232,1.058642,1.322595,7.243616,16.870716,BRA1,Testing,2024,0.5402192150949059,0.4741442203398266,0.5071817177173662
23,Bruno Gomes,Internacional,Internacional,"RB, RCMF, AMF",RB,1,23,2500000,2027-12-31,16,1028,Brazil,"Brazil, Italy",right,175,77,no,10.86,5.601789,1.048784,2.53771,6.306853,11.99825,BRA1,Testing,2024,0.7345822919718168,0.6389376047123397,0.6867599483420782
24,Renê,Internacional,Internacional,LB,LB,1,32,900000,2024-12-31,13,1068,Brazil,Brazil,left,174,72,no,9.52,5.22153,2.863724,4.131558,8.427935999999999,17.023428,BRA1,Testing,2024,1.0,1.0,1.0
25,Bruno Pacheco,Fortaleza,Fortaleza,LB,LB,1,32,450000,2026-12-31,16,1109,Brazil,Brazil,left,174,74,no,7.79,3.326339,2.19298,1.86714,4.6284,4.710637999999999,BRA1,Testing,2024,0.252875797603301,0.2583996011600321,0.2556376993816665
26,L. Godoy,Athletico Paranaense,Athletico Paranaense,RB,RB,1,29,3800000,2027-12-31,18,1184,Argentina,Argentina,right,173,71,no,6.61,3.194916,0.7615080000000001,3.418444,6.002128,9.957843000000002,BRA1,Testing,2024,0.3037068016399989,0.2295883982365698,0.2666475999382844
27,Diogo Barbosa,Fluminense,Fluminense,LB,LB,1,31,600000,2024-12-31,16,1188,Brazil,Brazil,left,179,70,no,6.29,2.87737,0.9109849999999998,1.365852,4.546894,9.542313,BRA1,Testing,2024,0.06429791616888131,0.03935481053116714,0.05182636335002422
28,Guilherme Arana,Atlético Mineiro,Atlético Mineiro,"LB, LWB",LB,1,27,12000000,2027-12-31,13,1241,Brazil,Brazil,left,176,66,no,6.74,3.191562,0.799659,2.758082,7.980472,20.377545,BRA1,Testing,2024,0.6365042058000516,0.5977577367970983,0.6171309712985749
29,M. Trauco,Criciúma,Criciúma,LB,LB,1,32,1300000,2024-12-31,18,1255,Peru,Peru,left,175,70,no,7.39,3.80335,1.1456,5.093424,8.387205,9.321209,BRA1,Testing,2024,0.4416442367006545,0.4711697244642649,0.4564069805824597
30,Nathan Mendes,Red Bull Bragantino,Red Bull Bragantino,RB,RB,1,22,1000000,2028-12-31,15,1261,Brazil,Brazil,right,182,79,no,8.42,3.994524,1.49703,2.143815,6.712416000000001,8.061588,BRA1,Testing,2024,0.4093219621069223,0.3662817664439988,0.3878018642754606
31,Juninho Capixaba,Red Bull Bragantino,Red Bull Bragantino,LB,LB,1,27,3000000,2026-12-31,15,1308,Brazil,Brazil,left,176,63,no,12.04,5.573567999999999,2.750458,3.029075,7.771557,11.1488,BRA1,Testing,2024,0.898360323512088,0.7912498538071758,0.8448050886596319
32,S. Arias,Bahia,Bahia,RB,RB,1,32,2500000,2025-12-31,14,1329,Colombia,Colombia,right,177,70,no,7.18,3.114604,0.8795989999999999,1.622776,8.596896000000001,10.766714,BRA1,Testing,2024,0.3001643911219954,0.3013456756158543,0.3007550333689248
33,D. Suárez,Botafogo,Botafogo,RB,RB,1,36,650000,2025-12-31,17,1395,Uruguay,"Uruguay, Spain",right,172,67,no,7.03,4.449898,0.7095,2.386232,6.126119999999999,8.128890000000002,BRA1,Testing,2024,0.1929496495109046,0.1607936688906441,0.1768716592007743
34,Reinaldo,Grêmio,Grêmio,"LB, LWB",LB,1,34,500000,2024-12-31,15,1435,Brazil,Brazil,left,178,79,no,8.53,4.58048,0.564,2.385,7.089189999999999,10.289344,BRA1,Testing,2024,0.3563235822980945,0.3375600332532483,0.3469418077756714
35,Marcos Rocha,Palmeiras,Palmeiras,"RB, RCB",RB,1,35,600000,2024-12-31,19,1471,Brazil,Brazil,right,176,68,no,10.28,6.121551,0.612,4.8335,10.341168,11.62034,BRA1,Testing,2024,0.792280685867996,0.7038854321249215,0.7480830589964587
36,Marlon,Cruzeiro,Cruzeiro,LB,LB,1,27,5000000,2026-12-31,17,1506,Brazil,Brazil,left,178,78,no,8.13,3.704001,1.19511,4.781925,7.051136000000001,14.039648,BRA1,Testing,2024,0.7282280149590847,0.6455952895048823,0.6869116522319835
37,Maguinho,Atlético GO,Atlético GO,RB,RB,1,32,300000,2024-12-31,20,1513,Brazil,Brazil,right,175,70,no,7.32,3.869292,1.367865,1.841836,4.876919999999999,9.279284,BRA1,Testing,2024,0.1937112916156654,0.1987416543452885,0.1962264729804769
38,Cuiabano,Botafogo,Botafogo,LB,LB,1,21,0,,19,1517,Brazil,Brazil,left,179,82,no,10.2,4.4492,1.483755,1.303414,4.861143999999999,6.528702000000001,BRA1,Testing,2024,0.3542647723444936,0.31222854067967,0.3332466565120817
39,J. Piquerez,Palmeiras,Palmeiras,"LB, LCB",LB,1,26,13000000,2026-12-31,17,1563,Uruguay,"Uruguay, Italy",left,183,80,no,8.69,4.088655,0.803484,2.015,6.675657999999999,12.610864,BRA1,Testing,2024,0.4496237093162469,0.414691240181979,0.4321574747491129
40,Felipe Jonatan,Fortaleza,Fortaleza,LB,LB,1,26,2000000,2027-04-30,19,1579,Brazil,Brazil,left,176,77,no,8.72,3.764376,1.024354,3.076776,6.099609999999999,7.806096,BRA1,Testing,2024,0.3523904847768223,0.314135564864569,0.3332630248206956
41,Wesley,Flamengo,Flamengo,RB,RB,1,20,0,,19,1606,Brazil,Brazil,right,178,73,no,9.86,5.490416,1.682252,0.446366,3.308304,8.354258,BRA1,Testing,2024,0.404000955966807,0.3130059930874035,0.3585034745271052
42,Claudinho,Criciúma,Criciúma,RB,RB,1,23,1200000,2025-12-31,23,1623,Brazil,Brazil,right,180,75,no,9.15,4.656,0.222592,1.998111,6.544055999999999,10.593975,BRA1,Testing,2024,0.3312317761185742,0.3256193376593532,0.3284255568889637
43,Matheus Alexandre,Cuiabá,Cuiabá,"RB, RWB",RB,1,25,1500000,2025-12-31,18,1626,Brazil,Brazil,right,188,88,no,8.58,4.096381,1.441796,0.9975,4.870550000000001,8.412824,BRA1,Testing,2024,0.2303086721588011,0.2279307971836153,0.2291197346712081
44,M. França Silva,Corinthians,Corinthians,"RB, RWB",RB,1,24,5000000,2028-12-31,22,1639,Brazil,Brazil,right,171,65,no,8.57,3.737178,0.7150880000000001,1.919831,5.382168,9.223553,BRA1,Testing,2024,0.2017780499775501,0.1902949251763793,0.1960364875769647
45,Igor Vinícius,São Paulo,São Paulo,"RB, RWB",RB,1,27,2500000,2025-12-31,18,1666,Brazil,Brazil,right,174,70,no,7.35,3.943456,0.3245129999999999,1.61875,7.131413999999999,11.61646,BRA1,Testing,2024,0.220098867313551,0.2171313421526515,0.2186151047331012
46,Ramon,Cuiabá,Cuiabá,LB,LB,1,23,2500000,2027-06-30,17,1672,Brazil,Brazil,left,179,70,yes,9.1,5.060253,0.54,1.181796,4.626657,7.592510999999999,BRA1,Testing,2024,0.09281070572480804,0.1149201136868716,0.1038654097058398
47,Samuel Xavier,Fluminense,Fluminense,RB,RB,1,34,400000,2025-12-31,18,1674,Brazil,Brazil,right,166,67,no,8.44,5.054504,0.6466019999999999,1.289211,3.654308,8.97465,BRA1,Testing,2024,0.06020653511929003,0.09550892577737555,0.07785773044833277
48,João Lucas,Juventude,Juventude,RB,RB,1,26,1700000,2025-12-31,18,1692,Brazil,Brazil,right,181,72,yes,8.78,4.999145,0.744168,1.49076,5.587592,7.874679,BRA1,Testing,2024,0.1758515844915656,0.1813296825244314,0.1785906335079985
49,Ayrton Lucas,Flamengo,Flamengo,LB,LB,1,27,8000000,2027-12-31,21,1693,Brazil,Brazil,left,180,72,no,6.38,3.346356,1.117,1.383492,4.676922999999999,11.481656,BRA1,Testing,2024,0.2480589052271101,0.1823636507989775,0.2152112780130438
50,João Pedro,Grêmio,Grêmio,RB,RB,1,27,4000000,2025-12-31,18,1694,Brazil,Brazil,right,179,75,no,6.69,2.976116,1.167052,1.914705,5.313264,7.227284999999999,BRA1,Testing,2024,0.1331055447278885,0.1132871732572396,0.123196358992564
51,Welington,São Paulo,São Paulo,"LB, LWB",LB,1,23,3500000,2024-12-31,20,1702,Brazil,Brazil,left,177,73,no,7.72,3.860698999999999,1.3222,2.007888,4.650218,8.723975000000001,BRA1,Testing,2024,0.1921341932148845,0.1924026782676746,0.1922684357412795
52,Alan Ruschel,Juventude,Juventude,LB,LB,1,35,200000,2024-12-31,18,1722,Brazil,Brazil,left,176,72,no,8.41,4.178129999999999,0.783918,1.307776,5.907094000000001,8.729968,BRA1,Testing,2024,0.2196075113869054,0.1832350729050175,0.2014212921459615
53,L. Esquivel,Athletico Paranaense,Athletico Paranaense,LB,LB,1,22,3000000,2028-06-30,20,1778,Argentina,Argentina,left,183,69,no,8.35,4.252776,1.212882,2.52909,8.40513,15.689795,BRA1,Testing,2024,0.7439359949241247,0.6647930480769784,0.7043645215005514
54,Willean Lepo,Vitória,Vitória,"RB, RCB",RB,1,27,450000,2026-12-31,21,1839,Brazil,Brazil,right,180,78,no,11.16,5.381579,1.958071,1.666,5.189788999999999,9.055184,BRA1,Testing,2024,0.631346717756825,0.528293814861695,0.57982026630926
55,Lucas Piton,Vasco da Gama,Vasco da Gama,LB,LB,1,23,7000000,2028-12-31,19,1841,Brazil,"Brazil, Italy",left,175,64,no,8.07,4.354136,1.1708,2.104011,5.625535999999999,9.481476,BRA1,Testing,2024,0.3127763249170888,0.2934054035375027,0.3030908642272957
56,Hugo,Corinthians,Corinthians,"LB, LWB",LB,1,27,1500000,2026-12-31,22,1951,Brazil,Brazil,left,179,73,no,9.6,5.260403999999999,2.81526,1.4769,5.167164000000001,7.612560000000001,BRA1,Testing,2024,0.5710336611103175,0.5230760481636656,0.5470548546369915
57,Paulo Henrique,Vasco da Gama,Vasco da Gama,RB,RB,1,28,1000000,2027-12-31,23,1982,Brazil,Brazil,right,175,74,no,10.17,5.496260000000001,0.905628,2.045,5.264214000000001,8.676948,BRA1,Testing,2024,0.3548835984211847,0.3370146255645637,0.3459491119928741
58,Tinga,Fortaleza,Fortaleza,RB,RB,1,31,1200000,2026-04-30,22,2011,Brazil,Brazil,right,179,78,no,8.28,3.310106999999999,3.134523,3.1328,7.1175,10.611125,BRA1,Testing,2024,0.5455730083399564,0.5497776759337104,0.5476753421368333
59,William,Cruzeiro,Cruzeiro,RB,RB,1,29,3000000,2026-12-31,22,2150,Brazil,Brazil,right,176,68,no,11.93,6.361992,1.044126,2.554308,6.150458,11.01208,BRA1,Testing,2024,0.6978419356269328,0.6266892621870778,0.6622655989070052
60,Marcelo Hermes,Criciúma,Criciúma,"LB, LW, LCMF",LB,1,29,450000,2024-12-31,22,2170,Brazil,Brazil,left,177,72,no,8.34,3.816623999999999,1.24232,1.8675,5.26645,6.010716,BRA1,Testing,2024,0.2090873676090673,0.1916585129681668,0.200372940288617
61,Lucas Esteves,Vitória,Vitória,LB,LB,1,24,1200000,2025-12-31,23,2172,Brazil,Brazil,left,171,68,no,7.54,4.100454,1.700237,1.161276,5.219200000000001,8.614828,BRA1,Testing,2024,0.2267644743579234,0.2390520302584923,0.2329082523082078
62,Luciano Juba,Bahia,Bahia,LB,LB,1,25,2500000,2027-12-31,24,2206,Brazil,Brazil,left,176,70,no,7.87,2.529135,0.8181,2.365182,7.712929,18.395712,BRA1,Testing,2024,0.61756695800364,0.5776310425500677,0.5975990002768539
63,Guilherme Romão,Atlético GO,Atlético GO,LB,LB,1,26,400000,2028-12-31,23,2295,Brazil,Brazil,left,176,75,no,7.37,3.570758,2.0776,2.3533,6.121386999999999,8.081738,BRA1,Testing,2024,0.343025654297307,0.3377479009582544,0.3403867776277807
