Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Passes_Laterais_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Passes_Laterais_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Passes_Laterais_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Passes_Laterais_Certos_Percentil
10,0.790464,0.828897,0.282127,0.453608,0.47301,0.402214,0.662266,William,Cruzeiro,Cruzeiro,RB,RB,1,29,3000000,2026-12-31,22,2150,Brazil,Brazil,right,176,68,no,BRA1,Testing,2024,Lateral Defensivo,0.662,11,64,82,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,3.0,4,41,15,26,18,95,93,35,76,59,71
11,0.139272,0.221617,0.198173,0.497458,0.703138,1.0,0.617131,Guilherme Arana,Atlético Mineiro,Atlético Mineiro,"LB, LWB",LB,1,27,12000000,2027-12-31,13,1241,Brazil,Brazil,left,176,66,no,BRA1,Testing,2024,Lateral Defensivo,0.617,12,64,81,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,56.0,56,49,13,7,1,12,12,23,79,89,98
12,0.628607,0.641264,0.740459,0.173283,0.202935,0.753902,0.611426,Igor Gomes,Internacional,Internacional,"RB, RCB",RB,1,23,1500000,2028-12-31,12,719,Brazil,Brazil,right,185,76,no,BRA1,Testing,2024,Lateral Defensivo,0.611,13,64,79,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,8.0,10,5,56,57,6,87,84,92,12,10,90
13,0.281054,0.094733,0.204506,0.41291,0.669494,0.873502,0.597599,Luciano Juba,Bahia,Bahia,LB,LB,1,25,2500000,2027-12-31,24,2206,Brazil,Brazil,left,176,70,no,BRA1,Testing,2024,Lateral Defensivo,0.598,14,64,78,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,41.0,63,47,20,10,2,35,1,26,68,84,96
14,0.693852,0.641104,0.595989,0.262453,0.352204,0.277307,0.57982,Willean Lepo,Vitória,Vitória,"RB, RCB",RB,1,27,450000,2026-12-31,21,1839,Brazil,Brazil,right,180,78,no,BRA1,Testing,2024,Lateral Defensivo,0.58,15,64,76,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,5.0,11,11,41,45,35,92,82,82,35,29,45
15,0.332497,0.244324,1.0,0.578093,0.594617,0.376621,0.547675,Tinga,Fortaleza,Fortaleza,RB,RB,1,31,1200000,2026-04-30,22,2011,Brazil,Brazil,right,179,78,no,BRA1,Testing,2024,Lateral Defensivo,0.548,16,64,75,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,37.0,53,1,8,15,22,42,17,98,87,76,65
16,0.498118,0.617893,0.89036,0.221761,0.349359,0.185226,0.547055,Hugo,Corinthians,Corinthians,"LB, LWB",LB,1,27,1500000,2026-12-31,22,1951,Brazil,Brazil,left,179,73,no,BRA1,Testing,2024,Lateral Defensivo,0.547,17,64,73,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,17.0,14,3,47,46,55,73,78,95,26,28,14
17,0.626098,0.852639,0.422113,0.360849,0.402904,0.234463,0.512436,R. Cáceres,Vitória,Vitória,"RB, RWB",RB,1,32,300000,2024-12-31,11,805,Paraguay,Paraguay,right,180,75,no,BRA1,Testing,2024,Lateral Defensivo,0.512,18,64,71,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,9.0,3,22,23,35,45,85,95,65,64,45,29
18,0.169385,0.185927,0.287112,0.188556,0.610477,0.776163,0.507182,Gilberto,Bahia,Bahia,RB,RB,1,31,3000000,2026-06-30,13,1019,Brazil,Brazil,right,181,68,no,BRA1,Testing,2024,Lateral Defensivo,0.507,19,64,70,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,55.0,58,39,52,13,5,14,9,39,18,79,92
19,0.220828,0.338802,0.316975,1.0,0.754285,0.294287,0.456407,M. Trauco,Criciúma,Criciúma,LB,LB,1,32,1300000,2024-12-31,18,1255,Peru,Peru,left,175,70,no,BRA1,Testing,2024,Lateral Defensivo,0.456,20,64,68,0.372804,0.433369,0.371285,0.349661,0.442129,0.351861,47.0,44,36,1,5,31,26,31,43,98,92,51
