Atleta,Equipe,Código_Posição_Wyscout,Pé,Liga,Versão_Temporada,Posição,Posição2
Deyverson,Atlético Mineiro,12,left,BRA1,2024,Atacante,Atacante
Alan Patrick,Internacional,9,right,BRA1,2024,Meia,Meia
M. Braithwaite,Grêmio,12,right,BRA1,2024,Atacante,Atacante
Everaldo,Bahia,12,right,BRA1,2024,Atacante,Atacante
Jonathan Cafú,Cuiabá,10,right,BRA1,2024,Extremo,Extremo
R. Battaglia,Atlético Mineiro,4,right,BRA1,2024,Zagueiro,Zagueiro
Walisson Maia,Criciúma,4,right,BRA1,2024,Zagueiro,Zagueiro
R. Cáceres,Vitória,1,right,BRA1,2024,Lateral Direito,Lateral
G. Freitas,Atlético GO,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
R. Arboleda,São Paulo,4,right,BRA1,2024,Zagueiro,Zagueiro
J. Lucero,Fortaleza,12,right,BRA1,2024,Atacante,Atacante
Bruno Pacheco,Fortaleza,1,left,BRA1,2024,Lateral Esquerdo,Lateral
Maguinho,Atlético GO,1,right,BRA1,2024,Lateral Direito,Lateral
Mádson,Athletico Paranaense,1,right,BRA1,2024,Lateral Direito,Lateral
S. Arias,Bahia,1,right,BRA1,2024,Lateral Direito,Lateral
Jean Carlos,Juventude,9,left,BRA1,2024,Meia,Meia
André Ramalho,Corinthians,4,right,BRA1,2024,Zagueiro,Zagueiro
Eduardo Sasha,Red Bull Bragantino,12,right,BRA1,2024,Atacante,Atacante
João Pedro,Grêmio,12,right,BRA1,2024,Atacante,Atacante
C. de Pena,Bahia,8,left,BRA1,2024,Segundo Volante,Segundo Volante
E. Brítez,Fortaleza,4,right,BRA1,2024,Zagueiro,Zagueiro
Rafa Silva,Cruzeiro,11,right,BRA1,2024,Extremo,Extremo
Marllon,Cuiabá,4,right,BRA1,2024,Zagueiro,Zagueiro
Yago Pikachu,Fortaleza,10,right,BRA1,2024,Extremo,Extremo
Philippe Coutinho,Vasco da Gama,9,right,BRA1,2024,Meia,Meia
Arthur Caíke,Criciúma,12,right,BRA1,2024,Atacante,Atacante
Neris,Vitória,4,right,BRA1,2024,Zagueiro,Zagueiro
Pablo,Athletico Paranaense,12,right,BRA1,2024,Atacante,Atacante
J. Campbell,Atlético GO,9,left,BRA1,2024,Meia,Meia
Wellington Rato,São Paulo,10,left,BRA1,2024,Extremo,Extremo
Ó. Romero,Botafogo,10,left,BRA1,2024,Extremo,Extremo
Á. Romero,Corinthians,12,right,BRA1,2024,Atacante,Atacante
Gabriel,Athletico Paranaense,8,right,BRA1,2024,Segundo Volante,Segundo Volante
Nikão,Athletico Paranaense,10,left,BRA1,2024,Extremo,Extremo
Lucas Moura,São Paulo,10,right,BRA1,2024,Extremo,Extremo
Diogo Barbosa,Fluminense,1,left,BRA1,2024,Lateral Esquerdo,Lateral
Igor Coronado,Corinthians,9,right,BRA1,2024,Meia,Meia
Jemerson,Grêmio,4,right,BRA1,2024,Zagueiro,Zagueiro
Jonathan,Criciúma,1,right,BRA1,2024,Lateral Direito,Lateral
M. Trauco,Criciúma,1,left,BRA1,2024,Lateral Esquerdo,Lateral
Tchê Tchê,Botafogo,8,right,BRA1,2024,Segundo Volante,Segundo Volante
Bernard,Atlético Mineiro,9,right,BRA1,2024,Meia,Meia
Renê,Internacional,1,left,BRA1,2024,Lateral Esquerdo,Lateral
Gabriel,Juventude,0,right,BRA1,2024,Goleiro,Goleiro
L. Alario,Internacional,12,right,BRA1,2024,Atacante,Atacante
Mayke,Palmeiras,1,right,BRA1,2024,Lateral Direito,Lateral
Pedro Henrique,Atlético GO,4,left,BRA1,2024,Zagueiro,Zagueiro
J. Alonso,Atlético Mineiro,4,left,BRA1,2024,Zagueiro,Zagueiro
Lucas Silva,Cruzeiro,8,right,BRA1,2024,Segundo Volante,Segundo Volante
Jandrei,São Paulo,0,right,BRA1,2024,Goleiro,Goleiro
Gilberto,Bahia,1,right,BRA1,2024,Lateral Direito,Lateral
Antônio Carlos,Fluminense,4,right,BRA1,2024,Zagueiro,Zagueiro
Gustavo,Criciúma,0,right,BRA1,2024,Goleiro,Goleiro
W. Ángel,Criciúma,4,right,BRA1,2024,Zagueiro,Zagueiro
S. Rochet,Internacional,0,right,BRA1,2024,Goleiro,Goleiro
G. Varela,Flamengo,1,right,BRA1,2024,Lateral Direito,Lateral
Gustavo Henrique,Corinthians,4,right,BRA1,2024,Zagueiro,Zagueiro
Felipe Anderson,Palmeiras,10,right,BRA1,2024,Extremo,Extremo
Rossi,Vasco da Gama,11,right,BRA1,2024,Extremo,Extremo
G. Mastriani,Athletico Paranaense,12,left,BRA1,2024,Atacante,Atacante
G. Gómez,Palmeiras,4,right,BRA1,2024,Zagueiro,Zagueiro
Willian Oliveira,Vitória,8,right,BRA1,2024,Segundo Volante,Segundo Volante
Luciano,São Paulo,9,left,BRA1,2024,Meia,Meia
Ramiro,Cruzeiro,8,right,BRA1,2024,Segundo Volante,Segundo Volante
R. Saravia,Atlético Mineiro,4,right,BRA1,2024,Zagueiro,Zagueiro
Zé Rafael,Palmeiras,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
Alisson,São Paulo,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
Filipe Augusto,Cuiabá,7,left,BRA1,2024,Primeiro Volante,Primeiro Volante
Jádson,Juventude,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
Tinga,Fortaleza,1,right,BRA1,2024,Lateral Direito,Lateral
Luiz Felipe,Atlético GO,4,right,BRA1,2024,Zagueiro,Zagueiro
J. Calleri,São Paulo,12,right,BRA1,2024,Atacante,Atacante
Camutanga,Vitória,4,right,BRA1,2024,Zagueiro,Zagueiro
Jean Mota,Vitória,8,left,BRA1,2024,Segundo Volante,Segundo Volante
Rodrigo Ely,Grêmio,4,right,BRA1,2024,Zagueiro,Zagueiro
Gustavo Scarpa,Atlético Mineiro,1,left,BRA1,2024,Lateral Esquerdo,Lateral
E. Pulgar,Flamengo,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
Tobias Figueiredo,Criciúma,4,right,BRA1,2024,Zagueiro,Zagueiro
Ricardo Ryller,Vitória,8,right,BRA1,2024,Segundo Volante,Segundo Volante
Gregore,Botafogo,8,right,BRA1,2024,Segundo Volante,Segundo Volante
Alan Empereur,Cuiabá,4,left,BRA1,2024,Zagueiro,Zagueiro
L. Romero,Cruzeiro,7,right,BRA1,2024,Primeiro Volante,Primeiro Volante
Otávio,Atlético Mineiro,8,right,BRA1,2024,Segundo Volante,Segundo Volante
G. de Arrascaeta,Flamengo,9,right,BRA1,2024,Meia,Meia
E. Martínez,Fortaleza,8,right,BRA1,2024,Segundo Volante,Segundo Volante
Higor Meritão,Criciúma,7,left,BRA1,2024,Primeiro Volante,Primeiro Volante
Patric,Vitória,1,left,BRA1,2024,Lateral Esquerdo,Lateral
L. Villalba,Cruzeiro,4,left,BRA1,2024,Zagueiro,Zagueiro
