Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Longos_Certos,Passes_Progressivos_Certos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,xG,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,xG_LM,xA_LM,Assistência_Finalização_LM,Passes_TerçoFinal_Certos_LM,Deep_Completions_LM,Passes_ÁreaPênalti_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,xG_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_TerçoFinal_Certos_Rank,Deep_Completions_Rank,Passes_ÁreaPênalti_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,xG_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_TerçoFinal_Certos_Percentil,Deep_Completions_Percentil,Passes_ÁreaPênalti_Certos_Percentil
10,0.767742,0.461347,0.514419,0.336519,0.813853,0.489252,0.325949,0.541667,0.466667,0.597222,0.318545,0.476744,0.575789,0.512756,Á. Barreal,Cruzeiro,Cruzeiro,"LCMF, LWF, LW",LCMF,8,24,5000000,2025-12-31,23,1404,Argentina,"Argentina, United States",left,172,66,yes,BRA1,Testing,2024,Segundo Volante Equilibrado,0.513,11,42,73,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,9.0,17,13,15,3.0,6,20.0,8.5,5.0,4.0,36,5.0,2,78,59,69,64,92,85,52,79,88,90,14,88,95
11,0.683871,0.711469,0.326216,0.262842,0.363636,0.278154,0.335443,0.166667,0.1,0.25,0.657361,0.116279,0.149431,0.502409,Rhaldney,Atlético GO,Atlético GO,RCMF,RCMF,8,25,600000,2025-06-30,26,1955,Brazil,Brazil,right,179,73,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.502,12,42,71,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,16.0,4,24,23,15.0,20,17.5,27.5,27.5,17.5,6,32.0,30,61,90,42,45,64,52,58,34,34,58,85,23,28
12,1.0,0.711449,0.503638,0.295348,0.04329,0.222095,0.0,0.083333,0.033333,0.162037,0.459546,0.034884,0.313278,0.490594,Ricardo Ryller,Vitória,Vitória,"RCMF, DMF",RCMF,8,30,650000,2024-12-31,12,656,Brazil,Brazil,right,184,78,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.491,13,42,69,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,1.5,5,16,20,40.0,25,42.0,38.0,37.5,28.0,18,39.0,12,96,88,61,52,4,40,0,9,10,33,57,7,71
13,0.476129,0.298599,0.121269,0.35279,0.437229,0.263327,0.582278,0.375,0.6,0.578704,0.371071,0.563953,0.473098,0.462303,E. Martínez,Fortaleza,Fortaleza,"LCMF, AMF, RAMF",LCMF,8,30,1200000,2027-06-30,13,686,Argentina,Argentina,right,177,66,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.462,14,42,66,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,27.0,27,39,12,11.0,22,3.0,12.0,4.0,6.0,31,3.0,6,35,35,7,71,73,47,92,71,90,85,26,92,85
14,0.415484,0.283409,0.715642,0.486942,0.056277,0.410363,0.341772,0.208333,0.1,0.25,0.641521,0.232558,0.159622,0.447811,Breno Bidon,Corinthians U20,Corinthians,"LCMF, RDMF, LDMF",LCMF,8,19,0,,22,1497,Brazil,Brazil,left,174,70,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.448,15,42,64,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,29.0,30,3,7,38.5,11,16.0,22.5,27.5,17.5,9,19.5,28,30,28,92,83,8,73,61,46,34,58,78,53,33
15,0.765161,0.846938,0.229237,0.170868,0.354978,0.73449,0.386076,0.333333,0.4,0.393519,0.211775,0.261628,0.319976,0.440656,Ronald,Criciúma,Criciúma,"LCMF, LW, RCMF",LCMF,8,27,800000,2025-12-31,23,1181,Brazil,Brazil,right,171,74,yes,BRA1,Testing,2024,Segundo Volante Equilibrado,0.441,16,42,61,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,10.0,2,33,32,16.0,2,8.5,15.0,7.0,8.0,40,17.5,11,76,95,21,23,61,95,79,64,83,80,4,58,73
16,0.732903,0.460434,0.258055,0.316468,0.38961,0.341369,0.224684,0.25,0.166667,0.222222,0.492776,0.395349,0.284299,0.432404,M. Villasanti,Grêmio,Grêmio,"RCMF, RDMF",RCMF,8,27,10000000,2027-12-31,20,2016,Paraguay,Paraguay,right,178,74,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.432,17,42,59,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,11.0,18,30,19,13.0,13,29.0,19.5,18.0,19.0,17,8.0,14,73,57,28,54,69,69,30,53,57,54,59,80,66
17,0.682581,0.412294,0.529698,0.33437,0.30303,0.266415,0.129747,0.333333,0.166667,0.259259,0.430396,0.337209,0.278097,0.420282,Baralhas,Atlético GO,Atlético GO,"LCMF, LDMF",LCMF,8,26,1000000,2025-12-31,27,2178,Brazil,Brazil,right,178,73,yes,BRA1,Testing,2024,Segundo Volante Equilibrado,0.42,18,42,57,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,17.0,21,11,16,23.0,21,38.5,15.0,18.0,15.5,22,14.0,16,59,50,73,61,45,50,8,64,57,63,47,66,61
18,0.0,0.002609,0.595242,0.482294,0.151515,0.188298,0.344937,0.083333,0.233333,0.189815,0.706562,0.19186,0.22288,0.401445,Tchê Tchê,Botafogo,Botafogo,"LCMF, LW, AMF",LCMF,8,32,1800000,2025-12-31,26,1735,Brazil,Brazil,right,175,66,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.401,19,42,54,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,42.0,40,7,9,30.0,27,14.5,38.0,10.5,24.5,5,26.0,19,0,4,83,78,28,35,65,9,75,41,88,38,54
19,0.384516,0.288567,0.306958,0.337455,0.160173,0.726233,0.370253,0.125,0.666667,0.722222,0.450835,0.215116,0.470102,0.380957,Gustavinho,Red Bull Bragantino,Red Bull Bragantino,"RCMF, AMF",RCMF,8,20,0,,24,998,Brazil,Brazil,right,175,68,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.381,20,42,52,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,30.0,28,25,14,29.0,3,12.0,33.5,3.0,2.0,20,22.0,7,28,33,40,66,30,92,71,20,92,95,52,47,83
20,0.655484,0.431784,0.436733,0.268685,0.532468,0.156608,0.344937,0.541667,0.166667,0.134259,0.581436,0.156977,0.117771,0.347895,Erick,Athletico Paranaense,Athletico Paranaense,"RCMF, RDMF, RB",RCMF,8,26,4000000,2026-12-31,27,2316,Brazil,Brazil,right,176,67,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.348,21,42,50,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,19.0,20,18,22,8.0,29,14.5,8.5,18.0,29.0,12,27.0,33,54,52,57,47,80,30,65,79,57,30,71,35,21
21,0.19871,0.000264,0.231401,0.317401,0.675325,0.52877,0.572785,0.375,0.066667,0.314815,0.382683,0.383721,0.384929,0.339369,Matheus Henrique,Cruzeiro,Cruzeiro,"RCMF, LCMF, RDMF",RCMF,8,26,8500000,2029-06-30,13,1095,Brazil,Brazil,right,173,71,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.339,22,42,47,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,38.5,41,32,18,4.0,5,4.0,12.0,32.0,11.0,28,9.5,9,8,2,23,57,90,88,90,71,23,73,33,77,78
22,0.326452,0.248342,0.290486,0.406545,0.398268,0.129655,0.382911,0.625,0.133333,0.12037,0.634041,0.215116,0.202555,0.334613,F. Vera,Atlético Mineiro,Atlético Mineiro,"RCMF, RDMF",RCMF,8,24,4500000,2027-12-31,19,1408,Argentina,Argentina,right,180,74,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.335,23,42,45,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,33.0,32,28,11,12.0,32,10.5,4.0,22.5,31.0,10,22.0,23,21,23,33,73,71,23,75,90,46,26,76,47,45
23,0.730323,0.472609,0.232446,0.276097,0.324675,0.310725,0.243671,0.291667,0.033333,0.115741,0.419248,0.133721,0.151598,0.314233,Alex Santana,Corinthians,Corinthians,"RCMF, LDMF, LCMF",RCMF,8,29,2000000,2027-12-31,9,584,Brazil,"Brazil, Bulgaria",right,182,74,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.314,24,42,42,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,13.0,15,31,21,18.5,18,26.0,17.5,37.5,32.0,23,29.5,29,69,64,26,50,55,57,38,58,10,23,45,29,30
24,0.727742,0.437279,0.366231,0.2147,0.341991,0.089321,0.186709,0.083333,0.166667,0.111111,0.452255,0.343023,0.241779,0.307383,Ramiro,Cruzeiro,Cruzeiro,"RCMF, LCMF",RCMF,8,31,800000,2024-12-31,21,1217,Brazil,"Brazil, Italy",right,168,67,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.307,25,42,40,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,15.0,19,22,26,17.0,39,32.0,38.0,18.0,33.5,19,13.0,18,64,54,47,38,59,7,23,9,57,20,54,69,57
25,0.181935,0.288003,0.184451,0.26218,0.142857,0.599191,0.424051,0.166667,0.3,0.314815,0.275953,0.383721,0.432788,0.255602,Denilson,Cuiabá,Cuiabá,"LCMF, LDMF",LCMF,8,23,2000000,2027-12-31,26,1813,Brazil,Brazil,right,180,75,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.256,26,42,38,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,40.0,29,37,24,31.0,4,7.0,27.5,8.0,11.0,38,9.5,8,4,30,11,42,26,90,83,34,80,73,9,77,80
26,0.507097,0.360249,0.440073,0.23425,0.246753,0.24158,0.496835,0.208333,0.2,0.185185,0.401298,0.034884,0.213026,0.253375,Newton,Criciúma,Criciúma,"RCMF, RDMF",RCMF,8,24,250000,2027-12-31,24,1951,Brazil,Brazil,right,188,78,yes,BRA1,Testing,2024,Segundo Volante Equilibrado,0.253,27,42,35,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,25.0,25,17,25,25.0,23,5.0,22.5,13.5,26.0,25,39.0,22,40,40,59,40,40,45,88,46,67,38,40,7,47
27,1.0,1.0,0.0,0.035861,0.116883,0.119094,0.186709,0.125,0.033333,0.041667,0.096016,0.040698,0.011018,0.250234,Ryan,Corinthians U20,Corinthians,"LCMF, RDMF",LCMF,8,21,0,,11,610,Brazil,Brazil,left,170,64,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.25,28,42,33,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,1.5,1,42,41,33.5,35,32.0,33.5,37.5,41.0,41,36.5,41,96,97,0,2,20,16,23,20,10,2,2,13,2
28,0.843871,0.491265,0.589076,0.201877,0.017316,0.083143,0.129747,0.125,0.033333,0.069444,0.44422,0.075581,0.174656,0.242975,Zé Welison,Fortaleza,Fortaleza,"LCMF, RCMF, LDMF",LCMF,8,29,2000000,2026-12-31,17,875,Brazil,Brazil,right,177,74,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.243,29,42,30,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,6.0,12,8,29,41.0,40,38.5,33.5,37.5,38.0,21,33.0,27,85,71,80,30,2,4,8,20,10,9,50,21,35
29,0.548387,0.492782,0.20475,0.071646,0.558442,0.315461,0.177215,0.541667,0.2,0.388889,0.326761,0.215116,0.045213,0.197856,M. Zaracho,Atlético Mineiro,Atlético Mineiro,"LCMF, LW",LCMF,8,26,9000000,2025-12-31,13,802,Argentina,Argentina,right,171,64,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.198,30,42,28,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,23.0,11,34,39,6.0,15,34.5,8.5,13.5,9.0,34,22.0,38,45,73,19,7,85,64,17,79,67,78,19,47,9
30,0.588387,0.553958,0.303551,0.117609,0.0,0.0,0.161392,0.0,0.133333,0.050926,0.502693,0.052326,0.021068,0.197049,Paulo Vitor,Atlético Mineiro U20,Atlético Mineiro,"RCMF, LCMF, LDMF",RCMF,8,20,0,,10,533,Brazil,Brazil,right,184,75,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.197,31,42,26,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,22.0,9,26,34,42.0,42,36.5,42.0,22.5,39.0,16,34.0,39,47,78,38,19,0,0,13,0,46,7,61,19,7
31,0.629677,0.383451,0.195648,0.109375,0.376623,0.313026,0.234177,0.333333,0.066667,0.111111,0.325293,0.232558,0.197862,0.17107,Barreto,Criciúma,Criciúma,"RCMF, DMF, LCMF",RCMF,8,28,500000,2024-12-31,24,2077,Brazil,"Brazil, Italy",right,181,78,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.171,32,42,23,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,21.0,23,36,35,14.0,16,27.5,15.0,32.0,33.5,35,19.5,24,50,45,14,16,66,61,34,64,23,20,16,53,42
32,0.730323,0.411014,0.341026,0.203273,0.060606,0.197149,0.177215,0.041667,0.0,0.0,0.358693,0.023256,0.0,0.170971,Rômulo,Internacional,Internacional,"RCMF, RDMF, DMF",RCMF,8,24,900000,2027-12-31,22,1455,Brazil,Brazil,right,182,75,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.171,33,42,21,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,13.0,22,23,28,37.0,26,34.5,40.5,42.0,42.0,32,41.0,42,69,47,45,33,11,38,17,3,0,0,23,2,0
33,0.501935,0.322497,0.521522,0.176438,0.08658,0.126739,0.199367,0.041667,0.033333,0.046296,0.655808,0.133721,0.178535,0.165281,Otávio,Atlético Mineiro,Atlético Mineiro,"RCMF, LCMF, DMF",RCMF,8,30,4500000,2026-06-30,19,1724,Brazil,Brazil,right,176,73,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.165,34,42,19,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,26.0,26,12,31,36.0,34,30.0,40.5,37.5,40.0,7,29.5,26,38,38,71,26,14,19,28,3,10,4,83,29,38
34,0.661935,0.472814,0.508621,0.094958,0.125541,0.305798,0.287975,0.166667,0.033333,0.078704,0.386361,0.0,0.012771,0.163502,Léo Naldi,Vitória,Vitória,"LCMF, DMF",LCMF,8,23,400000,2026-12-31,18,1186,Brazil,Brazil,right,176,70,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.164,35,42,16,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,18.0,14,15,36,32.0,19,21.5,27.5,37.5,36.5,27,42.0,40,57,66,64,14,23,54,48,34,10,13,35,0,4
35,0.291613,0.105876,0.204023,0.210562,0.268398,0.317388,0.287975,0.375,0.1,0.259259,0.375401,0.197674,0.37098,0.163193,Lucas Evangelista,Red Bull Bragantino,Red Bull Bragantino,"LCMF, RCMF, LDMF",LCMF,8,29,4000000,2026-06-30,25,2167,Brazil,Brazil,right,181,79,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.163,36,42,14,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,35.0,37,35,27,24.0,14,21.5,12.0,27.5,15.5,29,25.0,10,16,11,16,35,42,66,48,71,34,63,30,40,76
36,0.19871,0.141272,0.267854,0.088809,0.554113,0.311282,0.490506,0.583333,0.233333,0.208333,0.375149,0.44186,0.260639,0.162614,Jean Lucas,Bahia,Bahia,"LCMF, LAMF",LCMF,8,26,7000000,2028-12-31,30,2710,Brazil,Brazil,right,181,76,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.163,37,42,11,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,38.5,36,29,37,7.0,17,6.0,5.5,10.5,22.5,30,7.0,17,8,14,30,11,83,59,85,86,75,46,28,83,59
37,0.543226,0.237913,0.300961,0.147086,0.515152,0.166629,0.120253,0.541667,0.1,0.217593,0.312796,0.261628,0.213998,0.136406,Willian Oliveira,Vitória,Vitória,"RCMF, LCMF",RCMF,8,31,500000,2024-12-31,29,2385,Brazil,Brazil,right,183,75,no,BRA1,Testing,2024,Segundo Volante Equilibrado,0.136,38,42,9,0.559386,0.399266,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.253139,24.0,33,27,33,9.0,28,40.0,8.5,27.5,20.5,37,17.5,21,42,21,35,21,78,33,4,79,34,51,11,58,50
