Unnamed: 0,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Laterais_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Duelos_Defensivos_Ganhos_LM,Duelos_Aéreos_Ganhos_LM,Finalizações_Bloqueadas_LM,Interceptações_Ajustadas_a_Posse_LM,Passes_Laterais_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Duelos_Defensivos_Ganhos_Rank,Duelos_Aéreos_Ganhos_Rank,Finalizações_Bloqueadas_Rank,Interceptações_Ajustadas_a_Posse_Rank,Passes_Laterais_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Finalizações_Bloqueadas_Percentil,Interceptações_Ajustadas_a_Posse_Percentil,Passes_Laterais_Certos_Percentil
74,0.264348,0.260975,0.285262,0.333333,0.302326,0.500669,0.238585,Bastos,Botafogo,Botafogo,"RCB, LCB",RCB,4,33,800000,2026-12-31,28,2641,Angola,Angola,right,180,77,no,BRA1,Testing,2024,Zagueiro Defensivo,0.239,75,84,10,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,74.0,64,69,51.0,63.0,27,11,23,17,39,25,67
75,0.168696,0.233994,0.43134,0.152778,0.246512,0.669797,0.231463,Vitão,Internacional,Internacional,"RCB, LCB",RCB,4,24,8000000,2026-12-31,22,2037,Brazil,Brazil,right,185,78,no,BRA1,Testing,2024,Zagueiro Defensivo,0.231,76,84,9,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,78.0,68,39,80.0,71.0,11,7,19,53,4,15,86
76,0.38087,0.404686,0.156406,0.375,0.267442,0.205339,0.229811,Léo,Vasco da Gama,Vasco da Gama,LCB,LCB,4,28,3000000,2025-12-31,23,2342,Brazil,Brazil,left,183,76,no,BRA1,Testing,2024,Zagueiro Defensivo,0.23,77,84,8,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,59.0,46,81,44.5,67.0,70,29,45,3,47,20,16
77,0.126957,0.143406,0.178864,0.270833,0.365116,0.61943,0.174619,Fabricio Bruno,Flamengo,Flamengo,RCB,RCB,4,28,6000000,2028-12-31,22,2089,Brazil,Brazil,right,192,90,no,BRA1,Testing,2024,Zagueiro Defensivo,0.175,78,84,7,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,80.0,76,78,65.5,55.0,19,4,9,7,22,34,77
78,0.045217,0.0,0.346514,0.284722,0.25814,0.559797,0.143038,David Luiz,Flamengo,Flamengo,"LCB, RCB",LCB,4,37,400000,2024-12-31,18,1539,Brazil,"Brazil, Portugal",right,189,84,no,BRA1,Testing,2024,Zagueiro Defensivo,0.143,79,84,5,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,83.0,84,58,61.5,68.0,24,1,0,30,26,19,71
79,0.0,0.185781,0.377845,0.138889,0.0,0.665603,0.064123,G. Mercado,Internacional,Internacional,"LCB, RCB",LCB,4,37,250000,2024-12-31,17,1359,Argentina,"Argentina, Spain",right,181,85,no,BRA1,Testing,2024,Zagueiro Defensivo,0.064,80,84,4,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,84.0,73,52,81.0,84.0,14,0,13,38,3,0,83
80,0.213913,0.189764,0.323344,0.611111,0.086047,0.113379,0.060149,Camutanga,Vitória,Vitória,RCB,RCB,4,30,500000,2024-12-31,5,510,Brazil,Brazil,right,189,80,no,BRA1,Testing,2024,Zagueiro Defensivo,0.06,81,84,3,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,76.0,72,61,9.5,78.0,79,9,14,27,88,7,5
81,0.12,0.130856,0.345854,0.201389,0.009302,0.367415,0.017699,Alan Empereur,Cuiabá,Cuiabá,LCB,LCB,4,30,750000,2024-12-31,26,2465,Brazil,"Brazil, Italy",left,186,82,no,BRA1,Testing,2024,Zagueiro Defensivo,0.018,82,84,2,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,81.0,78,59,78.0,82.0,48,3,7,29,7,2,42
82,0.067826,0.127095,0.158563,0.208333,0.160465,0.69664,0.003981,Lucas Halter,Botafogo,Botafogo,RCB,RCB,4,24,3000000,2027-12-31,16,1503,Brazil,Brazil,right,188,93,no,BRA1,Testing,2024,Zagueiro Defensivo,0.004,83,84,1,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,82.0,79,80,76.5,76.5,8,2,5,4,8,8,90
83,0.128696,0.253037,0.235996,0.298611,0.062791,0.278667,0.0,Léo Ortiz,Flamengo,Flamengo,"RCB, RDMF, RCMF",RCB,4,28,8000000,2028-12-31,21,1684,Brazil,Brazil,right,185,82,no,BRA1,Testing,2024,Zagueiro Defensivo,0.0,84,84,0,0.497702,0.42104,0.42987,0.39666,0.459164,0.422159,79.0,67,75,57.5,80.0,64,5,20,10,31,4,23
