Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Finalizações_Bloqueadas,Interceptações_Ajustadas_a_Posse,Passes_Laterais_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
48,R. Battaglia,Atlético Mineiro,Atlético Mineiro,"CB, RCB, DMF",CB,4,33,1200000,2025-12-31,18,1743,Argentina,"Argentina, Italy",right,187,78,no,7.44,3.305598,2.733808,0.31,6.26,24.574256,BRA1,Testing,2024,0.5635829643957221,0.560381114722106,0.5619820395589141
49,Fabricio Bruno,Flamengo,Flamengo,RCB,RCB,4,28,6000000,2028-12-31,20,1892,Brazil,Brazil,right,192,90,no,5.95,2.379175,1.190799,0.29,5.38,21.88584,BRA1,Testing,2024,0.1259264832746417,0.09899288525799593,0.1124596842663188
50,Kanu,Bahia,Bahia,"LCB, RCB",LCB,4,27,3500000,2027-12-31,19,1899,Brazil,Brazil,right,186,80,no,7.39,2.656481000000001,1.800789,0.52,6.04,27.34784,BRA1,Testing,2024,0.408167655433205,0.3879347018341476,0.3980511786336763
51,Maicon,Vasco da Gama,Vasco da Gama,RCB,RCB,4,35,250000,2024-12-31,22,1909,Brazil,"Brazil, Portugal",right,191,80,no,8.53,2.73438,3.015286000000001,0.66,7.14,16.923037,BRA1,Testing,2024,0.7070987207014003,0.6438834990294351,0.6754911098654178
52,E. Brítez,Fortaleza,Fortaleza,"RCB, RB",RCB,4,32,800000,2025-12-31,20,1913,Argentina,Argentina,right,178,75,no,8.8,3.531724000000001,2.636348,0.42,5.76,9.87866,BRA1,Testing,2024,0.6037329154877276,0.5307490701163795,0.5672409928020535
53,Luan Cândido,Red Bull Bragantino,Red Bull Bragantino,"LCB, LB",LCB,4,23,7000000,2026-12-31,20,1927,Brazil,Brazil,left,184,76,no,9.95,4.344,2.38426,0.51,7.4,12.516768,BRA1,Testing,2024,0.8368901121496248,0.7997161611822112,0.8183031366659181
54,Léo,Vasco da Gama,Vasco da Gama,LCB,LCB,4,28,3000000,2025-12-31,19,1932,Brazil,Brazil,left,183,76,no,7.5,3.260163,1.26,0.65,5.32,14.25837,BRA1,Testing,2024,0.3029238351964688,0.2607945846160131,0.281859209906241
55,Alan Empereur,Cuiabá,Cuiabá,LCB,LCB,4,30,750000,2024-12-31,21,2004,Brazil,"Brazil, Italy",left,186,82,no,6.29,2.242902,2.33363,0.31,4.57,17.515896,BRA1,Testing,2024,0.1563965348259143,0.1147904374793122,0.1355934861526133
56,Danilo Boza,Juventude,Juventude,RCB,RCB,4,26,1200000,2025-12-31,20,2010,Brazil,Brazil,right,184,76,no,7.88,2.331875,2.370784,1.07,7.56,20.466222,BRA1,Testing,2024,0.6060670585965693,0.5830378257151476,0.5945524421558585
57,Cacá,Corinthians,Corinthians,"LCB, RCB",LCB,4,25,2000000,2025-01-31,20,2035,Brazil,Brazil,right,187,77,yes,7.34,2.738826,2.87298,0.93,5.84,18.221532,BRA1,Testing,2024,0.4903238187268049,0.4255994215644087,0.4579616201456068
