Unnamed: 0,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Pisadas_Área,Dribles_BemSucedidos,Corridas_Progressivas,xG,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Passes_Chave,Passes_ÁreaPênalti_Certos,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Ações_Defensivas_BemSucedidas_LM,Passes_Longos_Certos_LM,Passes_Progressivos_Certos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,Corridas_Progressivas_LM,xG_LM,xA_LM,Assistência_Finalização_LM,Passes_TerçoFinal_Certos_LM,Deep_Completions_LM,Passes_Chave_LM,Passes_ÁreaPênalti_Certos_LM,Ações_Defensivas_BemSucedidas_Rank,Passes_Longos_Certos_Rank,Passes_Progressivos_Certos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,Corridas_Progressivas_Rank,xG_Rank,xA_Rank,Assistência_Finalização_Rank,Passes_TerçoFinal_Certos_Rank,Deep_Completions_Rank,Passes_Chave_Rank,Passes_ÁreaPênalti_Certos_Rank,Ações_Defensivas_BemSucedidas_Percentil,Passes_Longos_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,xG_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Passes_TerçoFinal_Certos_Percentil,Deep_Completions_Percentil,Passes_Chave_Percentil,Passes_ÁreaPênalti_Certos_Percentil
10,0.732903,0.258055,0.316468,0.38961,0.341369,0.224684,0.25,0.166667,0.222222,0.492776,0.395349,0.333333,0.284299,0.475947,M. Villasanti,Grêmio,Grêmio,"RCMF, RDMF",RCMF,8,27,10000000,2027-12-31,20,2016,Paraguay,Paraguay,right,178,74,no,BRA1,Testing,2024,Segundo Volante Box to Box,0.476,11,42,73,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,11.0,30,19,13.0,13,29.0,19.5,18.0,19.0,17,8.0,14.5,14,73,28,54,69,69,30,53,57,54,59,80,65,66
11,0.682581,0.529698,0.33437,0.30303,0.266415,0.129747,0.333333,0.166667,0.259259,0.430396,0.337209,0.378788,0.278097,0.473387,Baralhas,Atlético GO,Atlético GO,"LCMF, LDMF",LCMF,8,26,1000000,2025-12-31,27,2178,Brazil,Brazil,right,178,73,yes,BRA1,Testing,2024,Segundo Volante Box to Box,0.473,12,42,71,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,17.0,11,16,23.0,21,38.5,15.0,18.0,15.5,22,14.0,11.0,16,59,73,61,45,50,8,64,57,63,47,66,73,61
12,0.476129,0.121269,0.35279,0.437229,0.263327,0.582278,0.375,0.6,0.578704,0.371071,0.563953,1.0,0.473098,0.472969,E. Martínez,Fortaleza,Fortaleza,"LCMF, AMF, RAMF",LCMF,8,30,1200000,2027-06-30,13,686,Argentina,Argentina,right,177,66,no,BRA1,Testing,2024,Segundo Volante Box to Box,0.473,13,42,69,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,27.0,39,12,11.0,22,3.0,12.0,4.0,6.0,31,3.0,1.0,6,35,7,71,73,47,92,71,90,85,26,92,97,85
13,0.415484,0.715642,0.486942,0.056277,0.410363,0.341772,0.208333,0.1,0.25,0.641521,0.232558,0.090909,0.159622,0.463994,Breno Bidon,Corinthians U20,Corinthians,"LCMF, RDMF, LDMF",LCMF,8,19,0,,22,1497,Brazil,Brazil,left,174,70,no,BRA1,Testing,2024,Segundo Volante Box to Box,0.464,14,42,66,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,29.0,3,7,38.5,11,16.0,22.5,27.5,17.5,9,19.5,37.0,28,30,92,83,8,73,61,46,34,58,78,53,11,33
14,0.0,0.595242,0.482294,0.151515,0.188298,0.344937,0.083333,0.233333,0.189815,0.706562,0.19186,0.393939,0.22288,0.44548,Tchê Tchê,Botafogo,Botafogo,"LCMF, LW, AMF",LCMF,8,32,1800000,2025-12-31,26,1735,Brazil,Brazil,right,175,66,no,BRA1,Testing,2024,Segundo Volante Box to Box,0.445,15,42,64,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,42.0,7,9,30.0,27,14.5,38.0,10.5,24.5,5,26.0,10.0,19,0,83,78,28,35,65,9,75,41,88,38,76,54
15,1.0,0.503638,0.295348,0.04329,0.222095,0.0,0.083333,0.033333,0.162037,0.459546,0.034884,0.409091,0.313278,0.422627,Ricardo Ryller,Vitória,Vitória,"RCMF, DMF",RCMF,8,30,650000,2024-12-31,12,656,Brazil,Brazil,right,184,78,no,BRA1,Testing,2024,Segundo Volante Box to Box,0.423,16,42,61,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,1.5,16,20,40.0,25,42.0,38.0,37.5,28.0,18,39.0,8.5,12,96,61,52,4,40,0,9,10,33,57,7,79,71
16,0.994839,0.435745,0.317859,0.116883,0.118027,0.186709,0.125,0.1,0.106481,0.415107,0.209302,0.0,0.076192,0.422265,Charles,Corinthians,Corinthians,RCMF,RCMF,8,28,1000000,2028-12-31,10,612,Brazil,Brazil,right,187,81,no,BRA1,Testing,2024,Segundo Volante Box to Box,0.422,17,42,59,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,3.0,19,17,33.5,36,32.0,33.5,27.5,35.0,24,24.0,40.5,36,92,54,59,20,14,23,20,34,16,42,42,3,14
17,0.683871,0.326216,0.262842,0.363636,0.278154,0.335443,0.166667,0.1,0.25,0.657361,0.116279,0.136364,0.149431,0.417608,Rhaldney,Atlético GO,Atlético GO,RCMF,RCMF,8,25,600000,2025-06-30,26,1955,Brazil,Brazil,right,179,73,no,BRA1,Testing,2024,Segundo Volante Box to Box,0.418,18,42,57,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,16.0,24,23,15.0,20,17.5,27.5,27.5,17.5,6,32.0,31.5,30,61,42,45,64,52,58,34,34,58,85,23,25,28
18,0.655484,0.436733,0.268685,0.532468,0.156608,0.344937,0.541667,0.166667,0.134259,0.581436,0.156977,0.181818,0.117771,0.397834,Erick,Athletico Paranaense,Athletico Paranaense,"RCMF, RDMF, RB",RCMF,8,26,4000000,2026-12-31,27,2316,Brazil,Brazil,right,176,67,no,BRA1,Testing,2024,Segundo Volante Box to Box,0.398,19,42,54,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,19.0,18,22,8.0,29,14.5,8.5,18.0,29.0,12,27.0,28.5,33,54,57,47,80,30,65,79,57,30,71,35,32,21
19,0.384516,0.306958,0.337455,0.160173,0.726233,0.370253,0.125,0.666667,0.722222,0.450835,0.215116,0.818182,0.470102,0.389692,Gustavinho,Red Bull Bragantino,Red Bull Bragantino,"RCMF, AMF",RCMF,8,20,0,,24,998,Brazil,Brazil,right,175,68,no,BRA1,Testing,2024,Segundo Volante Box to Box,0.39,20,42,52,0.559386,0.39745,0.312521,0.326943,0.293136,0.311709,0.298611,0.20873,0.266424,0.475043,0.256783,0.292569,0.253139,30.0,25,14,29.0,3,12.0,33.5,3.0,2.0,20,22.0,2.0,7,28,40,66,30,92,71,20,92,95,52,47,95,83
