Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
28,T. Cardona,Fortaleza,Fortaleza,LCB,LCB,4,28,1800000,2026-12-31,13,1220,Argentina,"Argentina, Spain",left,185,79,no,8.34,2.952285000000001,2.805176,3.022854999999999,12.246194,5.973631999999998,0.440022,0.0,0.96,3.098282999999999,BRA1,Testing,2024,0.712316232495659,0.6789680637647437,0.6956421481302014
29,Thiago Santos,Fluminense,Fluminense,LCB,LCB,4,35,250000,2025-12-31,15,1223,Brazil,Brazil,right,181,78,no,8.76,4.34048,3.38675,3.456936,16.854348,4.782393,1.252407,0.293348,1.25,3.603873,BRA1,Testing,2024,0.78702594051268,0.803840037338485,0.7954329889255825
30,G. Mercado,Internacional,Internacional,"LCB, RCB",LCB,4,37,250000,2024-12-31,15,1226,Argentina,"Argentina, Spain",right,181,85,no,4.99,2.20011,2.201355,2.9375,13.2848,4.1847,0.291414,0.146674,0.44,2.791656,BRA1,Testing,2024,0.01517989070305115,0.003146821981217852,0.0091633563421345
31,Pedro Henrique,Red Bull Bragantino,Red Bull Bragantino,RCB,RCB,4,28,3500000,2026-12-31,13,1274,Brazil,Brazil,right,188,82,no,7.35,3.88388,1.975485,5.581587,13.493289,7.773872,0.56472,0.21,0.28,4.165232,BRA1,Testing,2024,0.7563149022445201,0.7261758951918165,0.7412453987181683
32,Alix Vinicius,Atlético GO,Atlético GO,"LCB, CB",LCB,4,24,1000000,2026-12-31,15,1279,Brazil,Brazil,right,195,76,no,9.22,2.11,2.46122,3.094377,10.414656,4.361812,0.634328,0.349986,0.49,4.0128,BRA1,Testing,2024,0.3892610431481132,0.4203918743035381,0.4048264587258256
33,A. Barboza,Botafogo,Botafogo,LCB,LCB,4,29,2500000,2026-12-31,16,1283,Argentina,"Argentina, Uruguay",left,193,79,no,8.0,3.157206,3.646500000000001,3.64554,13.75057,6.73416,0.770084,0.28,0.77,3.576286,BRA1,Testing,2024,0.8892496662306095,0.8628068922999411,0.8760282792652754
34,Rodrigo Ely,Grêmio,Grêmio,RCB,RCB,4,30,3000000,2025-12-31,15,1321,Brazil,"Brazil, Italy",right,191,91,no,9.4,4.154904,4.153524,2.38384,9.40212,3.67723,0.409125,0.135,0.0,2.455232000000001,BRA1,Testing,2024,0.6912348499330904,0.7111142368160626,0.7011745433745765
35,Vitão,Internacional,Internacional,RCB,RCB,4,24,8000000,2026-12-31,15,1326,Brazil,Brazil,right,185,78,no,6.31,2.30458,2.645136,3.119513,11.472791,5.564055000000001,0.4773000000000001,0.14,1.9,5.156778,BRA1,Testing,2024,0.5202062675285385,0.4827938450098859,0.5015000562692121
36,David Luiz,Flamengo,Flamengo,"LCB, RCB",LCB,4,37,400000,2024-12-31,16,1364,Brazil,"Brazil, Portugal",right,189,84,no,5.34,1.718411,2.11079,1.45136,12.47037,5.143242,0.526969,0.131098,3.23,4.947432000000001,BRA1,Testing,2024,0.2372827912183545,0.1647408277167725,0.2010118094675635
37,Bruno Fuchs,Atlético Mineiro,Atlético Mineiro,"CB, LCB, RCB",CB,4,25,2000000,2026-06-30,16,1429,Brazil,Brazil,right,190,85,no,8.75,3.717252,1.575808,4.91123,22.17167999999999,9.319272,1.13477,0.316654,1.39,7.304000000000001,BRA1,Testing,2024,0.8840956775528583,0.9245593738777654,0.9043275257153118
38,Thiago Heleno,Athletico Paranaense,Athletico Paranaense,"LCB, RCB",LCB,4,35,400000,2024-12-31,15,1455,Brazil,Brazil,right,185,84,no,6.8,2.290061,2.287957,4.886557,12.806392,6.059062,0.125,0.0,0.06,4.205034,BRA1,Testing,2024,0.4482275736388782,0.43013717119279,0.4391823724158341
39,Titi,Fortaleza,Fortaleza,LCB,LCB,4,36,200000,2024-12-31,15,1462,Brazil,"Brazil, Italy",left,188,83,no,7.94,4.1272,1.59858,1.5384,10.156205,3.817368,0.798596,0.124,0.49,2.095698,BRA1,Testing,2024,0.1295728491303756,0.1353733728905066,0.1324731110104411
40,Lucas Halter,Botafogo,Botafogo,RCB,RCB,4,24,3000000,2027-12-31,16,1503,Brazil,Brazil,right,188,93,no,5.69,2.214123,1.199952,2.214128,17.365044,5.871929,0.24,0.120006,1.02,4.192045,BRA1,Testing,2024,0.1273002872332766,0.09408292375188546,0.110691605492581
41,G. Gómez,Palmeiras,Palmeiras,"RCB, CB, LCB",RCB,4,31,7500000,2026-12-31,15,1533,Paraguay,Paraguay,right,185,85,no,9.75,4.8706,3.872583,3.050021,11.743132,5.222882999999999,0.472745,0.120006,0.59,3.285789,BRA1,Testing,2024,0.8119073252926485,0.8489956995959144,0.8304515124442815
42,Léo Pereira,Flamengo,Flamengo,"LCB, LB",LCB,4,28,8000000,2027-12-31,19,1536,Brazil,Brazil,left,189,79,no,7.62,2.930368,1.230768,4.68945,14.180304,7.262904,0.9980880000000001,0.527178,0.82,6.38756,BRA1,Testing,2024,0.682333494404502,0.5889216564279858,0.6356275754162438
43,Zé Marcos,Juventude,Juventude,LCB,LCB,4,26,600000,2024-12-31,16,1558,Brazil,Brazil,left,188,77,no,7.68,2.831296,2.3125,2.71544,10.976484,3.69733,1.095609,0.346684,0.4,1.5576,BRA1,Testing,2024,0.1990882176513308,0.1532518981399701,0.1761700578956505
44,R. Saravia,Atlético Mineiro,Atlético Mineiro,"RCB, RB, RWB",RCB,4,31,2500000,2025-12-31,19,1575,Argentina,Argentina,right,178,73,no,10.46,5.372094999999999,0.9732500000000001,2.057,20.056491,7.712928000000001,1.7712,0.572,1.71,7.826756,BRA1,Testing,2024,0.9625174255965123,0.7697644437255481,0.8661409346610303
45,A. Franco,São Paulo,São Paulo,LCB,LCB,4,27,3000000,2025-12-31,17,1577,Argentina,Argentina,right,183,77,no,6.96,2.797794,2.226888,2.512426,16.839184,5.42409,0.9129640000000001,0.34284,1.03,3.536148000000001,BRA1,Testing,2024,0.4477160830554882,0.4446989682692852,0.4462075256623867
46,F. Torres,Corinthians,Corinthians,"RCB, LCB",RCB,4,27,5000000,2027-12-31,17,1603,Ecuador,Ecuador,right,187,78,no,8.31,3.253496,2.243075,1.685595,12.69186,4.548928,0.3937950000000001,0.226678,0.62,3.3097,BRA1,Testing,2024,0.4176930501426527,0.4024417299863375,0.4100673900644951
47,Murilo,Palmeiras,Palmeiras,LCB,LCB,4,27,10000000,2027-12-31,17,1645,Brazil,Brazil,right,188,78,no,7.77,3.82707,3.117376,2.624484,12.258258,5.086723,0.8204,0.440022,1.26,4.046244,BRA1,Testing,2024,0.7721532555391664,0.746660741794303,0.7594069986667347
48,R. Battaglia,Atlético Mineiro,Atlético Mineiro,"CB, RCB, DMF",CB,4,33,1200000,2025-12-31,18,1743,Argentina,"Argentina, Italy",right,187,78,no,7.44,3.305598,2.733808,1.805632,11.205402,3.565062,1.032355,0.413354,1.5,3.7214,BRA1,Testing,2024,0.3169518150027776,0.4078772856282754,0.3624145503155265
49,Fabricio Bruno,Flamengo,Flamengo,RCB,RCB,4,28,6000000,2028-12-31,20,1892,Brazil,Brazil,right,192,90,no,5.95,2.379175,1.190799,3.184127,16.647042,7.51474,0.38,0.05,0.48,5.136416000000001,BRA1,Testing,2024,0.350476382846093,0.3500239569628358,0.3502501699044644
50,Kanu,Bahia,Bahia,"LCB, RCB",LCB,4,27,3500000,2027-12-31,19,1899,Brazil,Brazil,right,186,80,no,7.39,2.656481000000001,1.800789,1.750855,18.292155,4.451637,1.181856,0.24,0.95,2.655805,BRA1,Testing,2024,0.126912037762067,0.1599353686672676,0.1434237032146673
51,Maicon,Vasco da Gama,Vasco da Gama,RCB,RCB,4,35,250000,2024-12-31,22,1909,Brazil,"Brazil, Portugal",right,191,80,no,8.53,2.73438,3.015286000000001,7.162890000000001,13.199472,7.780899999999999,0.1425,0.0,0.14,4.856799000000001,BRA1,Testing,2024,0.7803896622318149,0.7907255905974234,0.7855576264146191
52,E. Brítez,Fortaleza,Fortaleza,"RCB, RB",RCB,4,32,800000,2025-12-31,20,1913,Argentina,Argentina,right,178,75,no,8.8,3.531724000000001,2.636348,2.9176,9.267832,4.657788,0.7976970000000001,0.329,0.42,2.679,BRA1,Testing,2024,0.5005676968118208,0.5134413678521448,0.5070045323319828
53,Luan Cândido,Red Bull Bragantino,Red Bull Bragantino,"LCB, LB",LCB,4,23,7000000,2026-12-31,20,1927,Brazil,Brazil,left,184,76,no,9.95,4.344,2.38426,1.870488,7.282710000000001,3.126592,0.55875,0.280014,0.19,2.566564,BRA1,Testing,2024,0.405544905338547,0.3898765183732908,0.3977107118559189
54,Léo,Vasco da Gama,Vasco da Gama,LCB,LCB,4,28,3000000,2025-12-31,19,1932,Brazil,Brazil,left,183,76,no,7.5,3.260163,1.26,4.28417,14.1117,5.919200000000001,0.46359,0.186676,0.75,3.446472,BRA1,Testing,2024,0.3169726218239891,0.3013267175316064,0.3091496696777977
55,Alan Empereur,Cuiabá,Cuiabá,LCB,LCB,4,30,750000,2024-12-31,21,2004,Brazil,"Brazil, Italy",left,186,82,no,6.29,2.242902,2.33363,5.211939000000001,16.751187,7.592838,0.450036,0.132866,0.9,5.341742,BRA1,Testing,2024,0.6492159608306066,0.6405461126559597,0.6448810367432832
56,Danilo Boza,Juventude,Juventude,RCB,RCB,4,26,1200000,2025-12-31,20,2010,Brazil,Brazil,right,184,76,no,7.88,2.331875,2.370784,1.25307,15.85048,3.760599,0.7588750000000001,0.400918,1.16,3.13556,BRA1,Testing,2024,0.3008994142870255,0.2836891031191029,0.2922942587030642
57,Cacá,Corinthians,Corinthians,"LCB, RCB",LCB,4,25,2000000,2025-01-31,20,2035,Brazil,Brazil,right,187,77,yes,7.34,2.738826,2.87298,1.947296,8.843654999999998,3.230073,0.44375,0.135,0.88,1.860093,BRA1,Testing,2024,0.09210810796100656,0.1466529849393428,0.1193805464501747
58,Rodrigo,Criciúma,Criciúma,RCB,RCB,4,37,150000,2024-12-31,20,2038,Brazil,Brazil,right,187,80,no,9.54,3.180159,3.000941999999999,5.03728,14.26165,6.40179,0.795,0.308,0.75,5.474505000000001,BRA1,Testing,2024,1.0,1.0,1.0
59,Zé Ivaldo,Cruzeiro,Cruzeiro,RCB,RCB,4,27,3500000,2026-12-31,21,2072,Brazil,Brazil,right,185,78,no,7.34,2.9509,2.300828,3.737795999999999,14.90286,6.645803999999999,1.260402,0.430752,1.52,4.25744,BRA1,Testing,2024,0.7077461530754815,0.7192749172919073,0.7135105351836944
60,R. Arboleda,São Paulo,São Paulo,"RCB, CB",RCB,4,32,1200000,2027-12-31,22,2116,Ecuador,Ecuador,right,187,83,no,5.83,1.955119,2.50934,2.509308,14.372788,4.254323,0.299108,0.04,0.17,2.6753,BRA1,Testing,2024,0.1215143768006658,0.1070065342304371,0.1142604555155514
61,João Marcelo,Cruzeiro,Cruzeiro,"LCB, RCB",LCB,4,24,1500000,2028-12-31,22,2122,Brazil,Brazil,right,190,84,no,7.63,2.965776,2.883725,2.247515,15.564744,4.95872,0.6787199999999999,0.294,2.08,3.986675,BRA1,Testing,2024,0.6722491345079028,0.645954200722741,0.659101667615322
62,Kaique Rocha,Athletico Paranaense,Athletico Paranaense,RCB,RCB,4,23,3000000,2026-12-31,23,2187,Brazil,Brazil,right,195,87,no,6.91,2.469556,2.385621,2.26188,13.621635,5.429424,0.659328,0.326683,0.99,3.908177,BRA1,Testing,2024,0.4671831540467247,0.4329824541411923,0.4500828040939585
63,Adriano Martins,Atlético GO,Atlético GO,RCB,RCB,4,27,500000,2024-12-31,23,2293,Brazil,Brazil,right,193,87,no,8.01,2.827896,2.15875,3.18,13.185075,7.224640000000001,0.54961,0.27,0.59,4.514376000000001,BRA1,Testing,2024,0.6500551323253468,0.6118961008815615,0.6309756166034542
64,Bastos,Botafogo,Botafogo,"LCB, RCB",LCB,4,33,800000,2024-12-31,24,2308,Angola,Angola,right,180,77,no,6.67,2.727452,1.7532,2.223,15.756468,4.913222,0.466992,0.19375,0.7,3.470125,BRA1,Testing,2024,0.1347753764903482,0.1616850261915078,0.148230201340928
65,Gabriel Xavier,Bahia,Bahia,RCB,RCB,4,23,2500000,2027-12-31,23,2313,Brazil,Brazil,right,190,85,no,9.49,3.109779,3.893528,3.112187,18.094887,4.8625,0.3514519999999999,0.153341,0.7,4.283162,BRA1,Testing,2024,0.7704370510326863,0.8050217695172931,0.7877294102749897
66,Marllon,Cuiabá,Cuiabá,"RCB, CB",RCB,4,32,500000,2024-12-31,23,2338,Brazil,Brazil,right,186,75,no,8.66,3.965422999999999,2.387752,2.040956,11.237468,3.929604,0.345801,0.0,0.23,2.577414,BRA1,Testing,2024,0.4256375847756287,0.414905833885662,0.4202717093306454
67,Wagner Leonardo,Vitória,Vitória,LCB,LCB,4,25,1500000,2025-12-31,25,2444,Brazil,Brazil,left,186,76,no,7.03,1.6545,2.431,4.306316,13.367354,6.116040000000001,0.6645599999999999,0.334308,0.92,3.495464,BRA1,Testing,2024,0.6055337856901138,0.5829973899979957,0.5942655878440547
