Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Progressivos_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
11,Higor Meritão,Criciúma,Criciúma,"DMF, LCMF, LDMF",DMF,7,30,1300000,2024-12-31,17,1179,Brazil,Brazil,left,186,85,yes,8.7,3.052296,0.22875,4.35,BRA1,Testing,2024,0.3692349401504778,0.2838032597876806,0.3265190999690792
12,Rezende,Bahia,Bahia,"DMF, LCB, RCMF",DMF,7,29,800000,2025-12-31,18,701,Brazil,Brazil,left,186,84,no,9.37,5.133590000000001,1.1565,3.082208,BRA1,Testing,2024,0.5499530686858265,0.4915943951519005,0.5207737319188636
13,Marlon Freitas,Botafogo,Botafogo,"LDMF, LCMF, RCMF",LDMF,7,29,3500000,2025-12-31,26,2112,Brazil,Brazil,right,185,78,no,6.31,3.284348,0.511705,7.759375000000001,BRA1,Testing,2024,0.5366004162887656,0.4981918206481576,0.5173961184684616
14,Caíque,Juventude,Juventude,"LDMF, LCMF",LDMF,7,28,500000,2024-12-31,17,1570,Brazil,Brazil,right,178,72,no,9.97,5.04339,0.9186580000000001,3.380552,BRA1,Testing,2024,0.5313791708200499,0.5080110854536172,0.5196951281368335
15,Filipe Machado,Vitória,Vitória,"DMF, LCMF",DMF,7,28,1000000,2026-12-31,17,846,Brazil,Brazil,right,174,61,no,6.7,2.980338,0.745,4.46706,BRA1,Testing,2024,0.1639098283479987,0.1556191641058546,0.1597644962269267
16,Lucas Mineiro,Cuiabá,Cuiabá,"DMF, RDMF, LDMF",DMF,7,28,1400000,2026-12-31,26,2210,Brazil,Brazil,left,188,80,no,8.35,4.112784,1.50651,3.091801,BRA1,Testing,2024,0.4007965251764681,0.425420108898251,0.4131083170373596
17,Danilo Barbosa,Botafogo,Botafogo,"RDMF, RCMF, LCMF",RDMF,7,28,2500000,2025-06-30,24,1285,Brazil,Brazil,right,183,74,no,9.18,3.780035,2.029874,4.479755000000001,BRA1,Testing,2024,0.676957495079446,0.6354505986532766,0.6562040468663614
18,Lucas Kal,Al Riyadh,Atlético GO,"DMF, RDMF",DMF,7,28,1400000,2025-05-30,17,1302,Brazil,"Brazil, Italy",right,186,78,no,8.36,3.73191,0.9671759999999999,5.391976000000001,BRA1,Testing,2024,0.5525302179775482,0.5132710460626191,0.5329006320200836
19,Dodi,Grêmio,Grêmio,"LDMF, LCMF, RDMF",LDMF,7,28,700000,2026-12-31,26,2085,Brazil,Brazil,right,169,67,no,8.63,4.617666,0.7345909999999999,2.331551,BRA1,Testing,2024,0.2967639126672149,0.2683774069067951,0.282570659787005
20,Matheus Rossetto,Fortaleza,Fortaleza,"LDMF, RCMF, LCMF",LDMF,7,28,1500000,2024-12-31,16,1165,Brazil,"Brazil, Italy",right,180,75,no,7.18,4.251104,0.6190169999999999,5.328633,BRA1,Testing,2024,0.3770664397800197,0.3679024801699651,0.3724844599749924
21,Lima,Fluminense,Fluminense,"LDMF, RDMF, CF",LDMF,7,28,3000000,2025-12-31,23,1515,Brazil,Brazil,right,181,73,no,6.18,3.031764,0.5350400000000001,2.077156,BRA1,Testing,2024,0.0,0.0,0.0
22,Raul,Red Bull Bragantino,Red Bull Bragantino,"DMF, RDMF, LCMF",DMF,7,28,1500000,2024-12-31,23,1388,Brazil,Brazil,right,180,73,no,8.69,4.018388,0.5199479999999999,5.903098,BRA1,Testing,2024,0.5866480537652988,0.5580695484899172,0.5723588011276081
23,F. Carballo,New York RB,Grêmio,"LDMF, RCMF, LCMF",LDMF,7,27,5000000,2026-12-31,9,536,Uruguay,"Uruguay, Italy",right,177,72,yes,8.9,5.708844,1.00607,4.699728,BRA1,Testing,2024,0.6500133656287668,0.6431345351819889,0.6465739504053779
24,Ronaldo,Juventude,Juventude,"LDMF, LCMF",LDMF,7,28,700000,2024-12-31,6,585,Brazil,Brazil,right,179,69,no,9.69,5.688504,2.769,4.310280000000001,BRA1,Testing,2024,0.7839303233931223,0.847604701493361,0.8157675124432416
25,Raniele,Corinthians,Corinthians,"DMF, RDMF, LDMF",DMF,7,27,3500000,2028-12-31,26,2076,Brazil,Brazil,right,184,78,no,11.32,4.29221,2.123368,2.125074,BRA1,Testing,2024,0.7531683775393854,0.6835316198554993,0.7183499986974423
26,Luís Oyama,Juventude,Juventude,"RDMF, LCMF, RCMF",RDMF,7,27,700000,2025-12-31,16,777,Brazil,"Brazil, Japan",right,171,63,yes,9.03,4.056766,0.57904,2.664213,BRA1,Testing,2024,0.284811468044327,0.2538222766197513,0.2693168723320391
